,Unnamed: 0,Unnamed: 0.1,First_Name,Last_Name,player_id,Position,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Team,Home_Away,win,Team_points,Min_played,Crowd,Stadium_Cap,game_id,game_date,Player
0,0,0,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,19,50.0,81.818,0.0,14,11,3,0,3,0,0,4,Cavaliers,1,1,117,32:23,20562,20562,0da78f13-73ac-4465-8e31-ecc3029a5dc6,2016-10-25T23:30:00+00:00,LeBron James
8,8,8,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,29,100.0,53.333,57.1,4,2,1,2,1,0,0,0,Cavaliers,1,1,117,29:48,20562,20562,0da78f13-73ac-4465-8e31-ecc3029a5dc6,2016-10-25T23:30:00+00:00,Kyrie Irving
24,24,24,Derrick,Rose,48341095-ae5a-4d61-bcc8-1b0ceed870b2,G,17,100.0,40.0,50.0,1,3,2,0,1,0,0,4,Knicks,0,0,88,29:35,20562,20562,0da78f13-73ac-4465-8e31-ecc3029a5dc6,2016-10-25T23:30:00+00:00,Derrick Rose
29,29,29,Kristaps,Porzingis,3c5901ef-af1d-441d-aeed-8e0a93cead49,F-C,16,50.0,25.0,60.0,0,7,4,1,5,0,0,2,Knicks,0,0,88,32:48,20562,20562,0da78f13-73ac-4465-8e31-ecc3029a5dc6,2016-10-25T23:30:00+00:00,Kristaps Porzingis
34,34,34,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,39,100.0,64.286,66.7,6,9,1,0,3,0,0,4,Trail Blazers,1,1,113,35:25,19446,19980,5166289e-69f2-4761-854e-4c72a43d8d9c,2016-10-26T02:00:00+00:00,Damian Lillard
53,53,53,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,12,100.0,57.143,0.0,2,14,4,0,3,0,0,3,Jazz,0,0,104,40:57,19446,19980,5166289e-69f2-4761-854e-4c72a43d8d9c,2016-10-26T02:00:00+00:00,Rudy Gobert
86,86,86,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,35,100.0,55.6,0.0,3,5,3,5,1,0,0,2,Spurs,0,1,129,32:03,19596,19596,50e4c425-e26c-4740-8cd7-897919315b23,2016-10-26T02:30:00+00:00,Kawhi Leonard
91,91,91,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,25,87.5,33.333,80.0,6,8,0,0,2,0,0,2,Pacers,1,1,130,42:46,17923,18165,68c96738-a127-4d74-a5eb-de5ae2af3abe,2016-10-26T23:00:00+00:00,Paul George
129,129,129,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,17,75.0,50.0,0.0,3,14,5,2,3,0,0,1,Magic,1,0,96,35:49,19298,18846,d6bc803b-1bcd-463c-bb06-da91ebac4b0a,2016-10-26T23:00:00+00:00,Nikola Vucevic
137,137,137,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,18,0.0,56.25,0.0,1,14,4,0,3,0,1,1,Heat,0,1,108,30:59,19298,18846,d6bc803b-1bcd-463c-bb06-da91ebac4b0a,2016-10-26T23:00:00+00:00,Hassan Whiteside
181,181,181,DeMar,DeRozan,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,G,40,100.0,68.0,0.0,1,4,1,1,1,0,0,6,Raptors,1,1,109,34:28,19800,19800,61931540-e1da-4d3c-a0b8-463e741f9096,2016-10-26T23:30:00+00:00,DeMar DeRozan
189,189,189,Jonas,Valanciunas,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,C,32,85.7,66.667,0.0,1,11,6,0,4,0,0,1,Raptors,1,1,109,35:13,19800,19800,61931540-e1da-4d3c-a0b8-463e741f9096,2016-10-26T23:30:00+00:00,Jonas Valanciunas
205,205,205,Andre,Drummond,440b769d-2b8b-477f-80d7-cb21d83c0d52,C,16,33.3,63.636,0.0,0,6,1,1,5,0,0,4,Pistons,0,0,91,24:09,19800,19800,61931540-e1da-4d3c-a0b8-463e741f9096,2016-10-26T23:30:00+00:00,Andre Drummond
218,218,218,Joel,Embiid,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,C,20,87.5,38.462,33.3,0,7,0,0,4,0,0,4,76ers,1,0,97,22:25,20487,20328,4f175f45-5eb2-453c-b0c8-e1ef18e1566e,2016-10-27T00:00:00+00:00,Joel Embiid
223,223,223,Ben,Simmons,318debd7-dab6-4d4e-8849-03c4c701a7c8,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,1,0,97,00:00,20487,20328,4f175f45-5eb2-453c-b0c8-e1ef18e1566e,2016-10-27T00:00:00+00:00,Ben Simmons
224,224,224,Nerlens,Noel,2012f4fd-98e0-4080-98a7-0cfb9de87067,F-C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,1,0,97,00:00,20487,20328,4f175f45-5eb2-453c-b0c8-e1ef18e1566e,2016-10-27T00:00:00+00:00,Nerlens Noel
229,229,229,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,16,100.0,43.75,0.0,1,5,2,3,4,0,0,2,Thunder,0,1,103,35:33,20487,20328,4f175f45-5eb2-453c-b0c8-e1ef18e1566e,2016-10-27T00:00:00+00:00,Steven Adams
230,230,230,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F,5,0.0,50.0,33.3,0,4,0,0,2,0,0,0,Thunder,0,1,103,16:21,20487,20328,4f175f45-5eb2-453c-b0c8-e1ef18e1566e,2016-10-27T00:00:00+00:00,Domantas Sabonis
233,233,233,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,32,81.8,52.632,50.0,9,12,1,0,2,0,0,2,Thunder,0,1,103,36:23,20487,20328,4f175f45-5eb2-453c-b0c8-e1ef18e1566e,2016-10-27T00:00:00+00:00,Russell Westbrook
237,237,237,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,17,75.0,50.0,0.0,0,12,5,1,3,0,0,0,Thunder,0,1,103,24:00,20487,20328,4f175f45-5eb2-453c-b0c8-e1ef18e1566e,2016-10-27T00:00:00+00:00,Enes Kanter
257,257,257,Karl-Anthony,Towns,ab532a66-9314-4d57-ade7-bb54a70c65ad,F-C,21,100.0,46.7,40.0,5,4,2,1,3,0,0,2,Timberwolves,0,0,98,36:29,18119,18119,a7078756-0963-4c68-872c-9b677f786a5e,2016-10-27T00:00:00+00:00,Karl-Anthony Towns
270,270,270,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,31,66.7,63.158,50.0,5,9,1,1,5,0,0,1,Bucks,1,0,96,38:44,18717,18717,c2b3351c-aa9a-44aa-8f8e-40e5c9ad7e40,2016-10-27T00:00:00+00:00,Giannis Antetokounmpo
271,271,271,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bucks,1,0,96,00:00,18717,18717,c2b3351c-aa9a-44aa-8f8e-40e5c9ad7e40,2016-10-27T00:00:00+00:00,Khris Middleton
287,287,287,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,17,66.7,25.0,42.9,8,1,0,2,2,0,0,2,Hornets,0,1,107,35:04,18717,18717,c2b3351c-aa9a-44aa-8f8e-40e5c9ad7e40,2016-10-27T00:00:00+00:00,Kemba Walker
296,296,296,Christian,Wood,98100660-988b-4e71-a89e-f35839964483,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hornets,0,1,107,00:00,18717,18717,c2b3351c-aa9a-44aa-8f8e-40e5c9ad7e40,2016-10-27T00:00:00+00:00,Christian Wood
302,302,302,Anthony,Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F-C,50,94.1,53.125,0.0,5,15,1,5,4,0,0,3,Pelicans,1,0,102,41:14,15869,16867,c2bd8052-895f-4826-81d0-f31899ace531,2016-10-27T00:00:00+00:00,Anthony Davis
329,329,329,Nikola,Jokic,f2625432-3903-4f90-9b0b-2e4f63856bb0,C,5,0.0,33.333,50.0,2,7,1,0,4,0,0,4,Nuggets,0,1,107,21:08,15869,16867,c2bd8052-895f-4826-81d0-f31899ace531,2016-10-27T00:00:00+00:00,Nikola Jokic
344,344,344,Devin,Booker,31baa84f-c759-4f92-8e1f-a92305ade3d6,G,18,40.0,88.889,0.0,3,2,0,0,5,0,0,4,Suns,1,0,94,24:33,18055,18422,b6118ac0-b859-4fdd-987b-84f45f826c87,2016-10-27T02:00:00+00:00,Devin Booker
362,362,362,Ivica,Zubac,2da18268-82d4-4b40-a296-7ceddd435d0b,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Lakers,1,1,120,00:00,18997,19060,16f0d92f-1207-470d-9675-1a0af390bca4,2016-10-27T02:30:00+00:00,Ivica Zubac
375,375,375,Clint,Capela,c37dafbb-a269-41f6-813f-bdb4da388203,C,16,0.0,72.727,0.0,0,9,3,0,2,0,0,1,Rockets,0,0,114,25:40,18997,19060,16f0d92f-1207-470d-9675-1a0af390bca4,2016-10-27T02:30:00+00:00,Clint Capela
377,377,377,Montrezl,Harrell,869c305c-3e1f-49e5-a59b-5f1e03d198f8,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Rockets,0,0,114,00:00,18997,19060,16f0d92f-1207-470d-9675-1a0af390bca4,2016-10-27T02:30:00+00:00,Montrezl Harrell
378,378,378,James,Harden,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,G,34,93.8,66.667,14.3,17,7,3,1,5,0,0,7,Rockets,0,0,114,37:11,18997,19060,16f0d92f-1207-470d-9675-1a0af390bca4,2016-10-27T02:30:00+00:00,James Harden
413,413,413,Bradley,Beal,ff461754-ad20-4eeb-af02-2b46cc980b24,G,13,100.0,60.0,0.0,4,0,0,0,4,0,0,3,Wizards,0,0,99,23:42,19049,18118,19e4fa8f-86c2-47d6-86fb-cf4bcca0822b,2016-10-27T23:30:00+00:00,Bradley Beal
422,422,422,Jimmy,Butler,0e163d44-67a7-4107-9421-5333600166bb,G-F,24,66.7,18.182,66.7,3,7,3,2,2,0,1,0,Bulls,1,1,105,36:36,21501,20917,1822fc8b-f7d0-4976-9099-a6fc7ce57bc7,2016-10-28T00:00:00+00:00,Jimmy Butler
465,465,465,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,30,100.0,62.5,20.0,5,3,0,5,5,0,0,1,Spurs,0,1,102,34:55,17608,17608,4d0f42bc-c7c7-4521-885f-08871e22ab6e,2016-10-28T02:30:00+00:00,Kawhi Leonard
488,488,488,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,29,71.4,47.368,40.0,3,10,1,0,6,0,0,4,Trail Blazers,1,0,106,36:11,19500,19980,c2510583-d8c5-4ebd-af56-2459ef8e077a,2016-10-28T02:30:00+00:00,Damian Lillard
503,503,503,DeAndre,Jordan,0036a1fa-ff9a-44a5-8061-68b828ee2b1e,C,6,20.0,28.571,0.0,0,12,7,0,5,0,1,1,Clippers,0,1,114,28:11,19500,19980,c2510583-d8c5-4ebd-af56-2459ef8e077a,2016-10-28T02:30:00+00:00,DeAndre Jordan
508,508,508,Chris,Paul,942c53e3-7268-44e3-b0a9-fdff55a72c03,G,27,85.7,54.545,37.5,5,5,0,1,2,0,0,1,Clippers,0,1,114,33:15,19500,19980,c2510583-d8c5-4ebd-af56-2459ef8e077a,2016-10-28T02:30:00+00:00,Chris Paul
510,510,510,Jonas,Valanciunas,c8788ad2-89f7-4ec9-a22b-dcaf6190889b,C,10,0.0,33.333,0.0,0,17,6,0,2,0,0,3,Raptors,1,0,91,31:00,19800,19800,e72c8696-7107-46fc-adea-c5c2b448b610,2016-10-28T23:00:00+00:00,Jonas Valanciunas
515,515,515,DeMar,DeRozan,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,G,32,100.0,44.444,0.0,2,7,2,2,3,0,0,3,Raptors,1,0,91,38:21,19800,19800,e72c8696-7107-46fc-adea-c5c2b448b610,2016-10-28T23:00:00+00:00,DeMar DeRozan
530,530,530,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,21,71.4,50.0,33.3,7,8,2,0,2,0,0,5,Cavaliers,0,1,94,38:40,19800,19800,e72c8696-7107-46fc-adea-c5c2b448b610,2016-10-28T23:00:00+00:00,LeBron James
531,531,531,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,26,100.0,35.714,55.6,6,6,1,0,4,0,0,7,Cavaliers,0,1,94,38:26,19800,19800,e72c8696-7107-46fc-adea-c5c2b448b610,2016-10-28T23:00:00+00:00,Kyrie Irving
542,542,542,Andre,Drummond,440b769d-2b8b-477f-80d7-cb21d83c0d52,C,12,100.0,35.714,0.0,1,20,4,2,1,0,0,1,Pistons,1,1,108,27:34,19122,19971,7d7e9426-a4bd-49b6-a8b4-ddd0a5382810,2016-10-28T23:30:00+00:00,Andre Drummond
564,564,564,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,7,50.0,25.0,0.0,3,14,4,1,0,0,0,1,Magic,0,0,82,26:00,19122,19971,7d7e9426-a4bd-49b6-a8b4-ddd0a5382810,2016-10-28T23:30:00+00:00,Nikola Vucevic
586,586,586,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,22,100.0,42.857,25.0,2,9,1,2,2,0,0,1,Pacers,0,0,94,36:07,17732,17732,8913f783-022e-4a76-91c9-4525ffcc612e,2016-10-28T23:30:00+00:00,Paul George
599,599,599,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F,8,0.0,66.667,0.0,0,4,0,0,3,0,0,1,Thunder,1,1,113,17:29,18203,18203,3d1bb1b4-1405-4fcb-980c-caeafbc8e7fd,2016-10-29T00:00:00+00:00,Domantas Sabonis
607,607,607,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,4,50.0,25.0,0.0,0,2,1,0,3,0,0,2,Thunder,1,1,113,12:16,18203,18203,3d1bb1b4-1405-4fcb-980c-caeafbc8e7fd,2016-10-29T00:00:00+00:00,Enes Kanter
608,608,608,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,51,75.0,44.118,20.0,10,13,3,2,3,0,0,5,Thunder,1,1,113,45:19,18203,18203,3d1bb1b4-1405-4fcb-980c-caeafbc8e7fd,2016-10-29T00:00:00+00:00,Russell Westbrook
611,611,611,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,9,100.0,37.5,0.0,0,10,6,1,2,0,0,6,Thunder,1,1,113,39:42,18203,18203,3d1bb1b4-1405-4fcb-980c-caeafbc8e7fd,2016-10-29T00:00:00+00:00,Steven Adams
619,619,619,Devin,Booker,31baa84f-c759-4f92-8e1f-a92305ade3d6,G,21,60.0,35.29400000000001,25.0,1,6,2,0,3,0,0,1,Suns,0,0,110,43:53,18203,18203,3d1bb1b4-1405-4fcb-980c-caeafbc8e7fd,2016-10-29T00:00:00+00:00,Devin Booker
638,638,638,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,20,57.1,72.727,0.0,0,15,5,0,4,0,0,4,Heat,1,0,91,26:49,19600,19600,b890c47f-b52c-4d7d-9861-69e15098eaf5,2016-10-29T00:00:00+00:00,Hassan Whiteside
644,644,644,Christian,Wood,98100660-988b-4e71-a89e-f35839964483,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hornets,0,1,97,00:00,19600,19600,b890c47f-b52c-4d7d-9861-69e15098eaf5,2016-10-29T00:00:00+00:00,Christian Wood
658,658,658,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,24,88.9,38.462,40.0,4,1,0,2,1,0,0,0,Hornets,0,1,97,31:06,19600,19600,b890c47f-b52c-4d7d-9861-69e15098eaf5,2016-10-29T00:00:00+00:00,Kemba Walker
678,678,678,Clint,Capela,c37dafbb-a269-41f6-813f-bdb4da388203,C,4,0.0,40.0,0.0,0,9,2,1,1,0,0,3,Rockets,0,1,106,25:07,20163,19200,bf1ed357-90a5-4fea-8cdd-df0f03f2933f,2016-10-29T00:30:00+00:00,Clint Capela
687,687,687,James,Harden,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,G,26,80.0,55.556,44.4,8,7,1,1,4,0,0,4,Rockets,0,1,106,35:51,20163,19200,bf1ed357-90a5-4fea-8cdd-df0f03f2933f,2016-10-29T00:30:00+00:00,James Harden
688,688,688,Montrezl,Harrell,869c305c-3e1f-49e5-a59b-5f1e03d198f8,F,2,0.0,100.0,0.0,0,1,0,0,1,0,0,0,Rockets,0,1,106,3:44,20163,19200,bf1ed357-90a5-4fea-8cdd-df0f03f2933f,2016-10-29T00:30:00+00:00,Montrezl Harrell
703,703,703,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,13,62.5,44.444,0.0,1,13,6,0,2,0,0,1,Jazz,1,1,96,31:52,19911,19911,a80d389f-9d55-4800-8d8b-95f001ed9fea,2016-10-29T01:00:00+00:00,Rudy Gobert
715,715,715,Ivica,Zubac,2da18268-82d4-4b40-a296-7ceddd435d0b,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Lakers,0,0,89,00:00,19911,19911,a80d389f-9d55-4800-8d8b-95f001ed9fea,2016-10-29T01:00:00+00:00,Ivica Zubac
731,731,731,Anthony,Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F-C,45,71.4,55.172,50.0,3,17,6,2,2,0,0,1,Pelicans,1,0,114,39:58,18217,16867,46d04b11-b24a-40ec-990e-0e1ca72638aa,2016-10-29T01:30:00+00:00,Anthony Davis
749,749,749,Nerlens,Noel,2012f4fd-98e0-4080-98a7-0cfb9de87067,F-C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,1,0,72,00:00,16312,20328,553d178a-5515-4225-bb0c-e0063b1ab2d4,2016-10-29T16:30:00+00:00,Nerlens Noel
755,755,755,Ben,Simmons,318debd7-dab6-4d4e-8849-03c4c701a7c8,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,76ers,1,0,72,00:00,16312,20328,553d178a-5515-4225-bb0c-e0063b1ab2d4,2016-10-29T16:30:00+00:00,Ben Simmons
759,759,759,Joel,Embiid,bf9ad0fd-0cb8-4360-8970-5f1b5cf3fa8d,C,14,75.0,50.0,100.0,1,2,0,1,3,0,0,3,76ers,1,0,72,15:28,16312,20328,553d178a-5515-4225-bb0c-e0063b1ab2d4,2016-10-29T16:30:00+00:00,Joel Embiid
784,784,784,Christian,Wood,98100660-988b-4e71-a89e-f35839964483,F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Hornets,1,0,98,00:00,18708,19077,526caba1-3522-4706-9514-ec8452fd2bfa,2016-10-29T23:00:00+00:00,Christian Wood
787,787,787,Kemba,Walker,a35ee8ed-f1db-4f7e-bb17-f823e8ee0b38,G,29,83.3,75.0,50.0,3,2,0,3,2,0,0,4,Hornets,1,0,98,35:58,18708,19077,526caba1-3522-4706-9514-ec8452fd2bfa,2016-10-29T23:00:00+00:00,Kemba Walker
811,811,811,Derrick,Rose,48341095-ae5a-4d61-bcc8-1b0ceed870b2,G,13,50.0,50.0,0.0,3,4,1,2,2,0,0,0,Knicks,1,1,111,32:16,19812,19812,53c82103-0d3a-4d86-96fb-863101c3a378,2016-10-29T23:30:00+00:00,Derrick Rose
818,818,818,Kristaps,Porzingis,3c5901ef-af1d-441d-aeed-8e0a93cead49,F-C,21,75.0,85.714,25.0,2,5,0,0,5,0,0,0,Knicks,1,1,111,36:22,19812,19812,53c82103-0d3a-4d86-96fb-863101c3a378,2016-10-29T23:30:00+00:00,Kristaps Porzingis
846,846,846,Kyrie,Irving,dd146010-902b-4ad7-b98c-650d0363a2f0,G,20,100.0,41.667,33.3,2,4,0,0,2,0,0,1,Cavaliers,1,1,105,36:52,20562,20562,ade577ce-fec1-4d4e-b762-32228a68fa3a,2016-10-29T23:30:00+00:00,Kyrie Irving
848,848,848,LeBron,James,0afbe608-940a-4d5d-a1f7-468718c67d91,F,23,63.6,50.0,33.3,9,6,1,1,2,0,0,2,Cavaliers,1,1,105,39:00,20562,20562,ade577ce-fec1-4d4e-b762-32228a68fa3a,2016-10-29T23:30:00+00:00,LeBron James
860,860,860,Nikola,Vucevic,7366b2b7-5959-4dd9-9204-760e861b3119,C,11,50.0,62.5,0.0,1,9,2,0,2,0,0,4,Magic,0,0,99,24:41,20562,20562,ade577ce-fec1-4d4e-b762-32228a68fa3a,2016-10-29T23:30:00+00:00,Nikola Vucevic
870,870,870,Jimmy,Butler,0e163d44-67a7-4107-9421-5333600166bb,G-F,16,100.0,85.714,0.0,3,5,2,1,2,0,0,0,Bulls,1,1,118,25:56,21373,20917,1b22e2d3-3c77-4d44-87d9-58f156ae42e5,2016-10-30T00:00:00+00:00,Jimmy Butler
893,893,893,Paul,George,db09f372-9a17-4889-add7-bf8a75ab6da6,F,20,0.0,57.143,80.0,3,1,0,1,4,0,0,3,Pacers,0,0,101,23:37,21373,20917,1b22e2d3-3c77-4d44-87d9-58f156ae42e5,2016-10-30T00:00:00+00:00,Paul George
905,905,905,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,20,100.0,50.0,50.0,3,4,0,2,1,0,0,0,Spurs,1,1,98,28:00,18418,18418,8da8f5b2-39da-4dd4-affb-3540276f582e,2016-10-30T00:00:00+00:00,Kawhi Leonard
922,922,922,Anthony,Davis,ea8826b8-1f76-4eab-b61e-ffcb176880f3,F-C,18,75.0,40.0,0.0,0,5,0,0,1,0,0,1,Pelicans,0,0,79,31:35,18418,18418,8da8f5b2-39da-4dd4-affb-3540276f582e,2016-10-30T00:00:00+00:00,Anthony Davis
939,939,939,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,21,100.0,58.824,0.0,3,10,1,2,2,0,0,4,Bucks,1,1,110,35:29,12570,18717,a565019c-4a2b-46e8-a982-0b8479e7962f,2016-10-30T00:00:00+00:00,Giannis Antetokounmpo
940,940,940,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bucks,1,1,110,00:00,12570,18717,a565019c-4a2b-46e8-a982-0b8479e7962f,2016-10-30T00:00:00+00:00,Khris Middleton
969,969,969,Nikola,Jokic,f2625432-3903-4f90-9b0b-2e4f63856bb0,C,23,66.7,60.0,20.0,2,17,6,4,5,0,0,1,Nuggets,1,0,113,34:06,18055,19155,7a63a7f2-e353-4775-a8b7-fb0ec41aced9,2016-10-30T01:00:00+00:00,Nikola Jokic
981,981,981,Damian,Lillard,5382cf43-3a79-4a5a-a7fd-153906fe65dd,G,37,100.0,65.0,25.0,7,5,1,2,2,0,0,5,Trail Blazers,0,1,115,41:22,18055,19155,7a63a7f2-e353-4775-a8b7-fb0ec41aced9,2016-10-30T01:00:00+00:00,Damian Lillard
1007,1007,1007,Karl-Anthony,Towns,ab532a66-9314-4d57-ade7-bb54a70c65ad,F-C,15,0.0,60.0,50.0,4,6,2,2,5,0,0,1,Timberwolves,0,0,103,37:06,17608,17500,35353708-e63a-4b4f-938b-2f91dae76895,2016-10-30T02:30:00+00:00,Karl-Anthony Towns
1027,1027,1027,Chris,Paul,942c53e3-7268-44e3-b0a9-fdff55a72c03,G,9,100.0,40.0,33.3,9,3,0,3,1,0,0,3,Clippers,1,1,88,28:56,19060,19060,fb1b3863-118c-4261-bba5-f7a115c3d33b,2016-10-30T20:30:00+00:00,Chris Paul
1033,1033,1033,DeAndre,Jordan,0036a1fa-ff9a-44a5-8061-68b828ee2b1e,C,7,50.0,30.0,0.0,0,16,6,0,1,0,0,1,Clippers,1,1,88,28:06,19060,19060,fb1b3863-118c-4261-bba5-f7a115c3d33b,2016-10-30T20:30:00+00:00,DeAndre Jordan
1036,1036,1036,Rudy,Gobert,37fbc3a5-0d10-4e22-803b-baa2ea0cdb12,C,8,100.0,75.0,0.0,3,9,2,0,3,0,0,4,Jazz,0,0,75,26:07,19060,19060,fb1b3863-118c-4261-bba5-f7a115c3d33b,2016-10-30T20:30:00+00:00,Rudy Gobert
1054,1054,1054,Hassan,Whiteside,3b8024e6-5872-4ceb-b675-415715527776,C,27,70.0,66.667,0.0,1,15,1,2,2,0,0,1,Heat,1,0,99,34:56,19678,19600,57bd81c6-cd02-4863-b88e-42b01d263311,2016-10-30T22:00:00+00:00,Hassan Whiteside
1078,1078,1078,Kawhi,Leonard,c12fb587-fc86-471c-8a84-19caf31325ce,F,27,83.3,53.846,33.3,6,2,0,1,3,0,0,4,Spurs,0,1,106,29:49,19678,19600,57bd81c6-cd02-4863-b88e-42b01d263311,2016-10-30T22:00:00+00:00,Kawhi Leonard
1086,1086,1086,Devin,Booker,31baa84f-c759-4f92-8e1f-a92305ade3d6,G,7,0.0,25.0,25.0,2,0,0,0,0,0,0,2,Suns,1,0,100,28:19,17011,18422,7708f95e-1bf2-498d-985f-a18e190c2a8f,2016-10-30T22:00:00+00:00,Devin Booker
1122,1122,1122,Andre,Drummond,440b769d-2b8b-477f-80d7-cb21d83c0d52,C,20,50.0,50.0,0.0,1,23,8,2,1,0,0,0,Pistons,1,1,98,36:48,15161,19971,ebe4a902-6ff6-440d-b60b-824dabeefa6a,2016-10-30T22:00:00+00:00,Andre Drummond
1125,1125,1125,Khris,Middleton,4c362eee-6474-40ea-b1b4-d8f917f95175,G-F,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Bucks,0,0,83,00:00,15161,19971,ebe4a902-6ff6-440d-b60b-824dabeefa6a,2016-10-30T22:00:00+00:00,Khris Middleton
1134,1134,1134,Giannis,Antetokounmpo,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,F,17,100.0,30.8,33.3,8,8,0,0,0,0,0,2,Bucks,0,0,83,35:13,15161,19971,ebe4a902-6ff6-440d-b60b-824dabeefa6a,2016-10-30T22:00:00+00:00,Giannis Antetokounmpo
1144,1144,1144,Steven,Adams,a208e22a-6b63-45f9-b7c6-bf913a68f3df,C,14,100.0,50.0,0.0,2,12,3,3,2,0,0,2,Thunder,1,1,113,29:34,18203,18203,b0c7b1c3-3902-45fa-bdb2-a8b9482a2c4b,2016-10-30T23:00:00+00:00,Steven Adams
1146,1146,1146,Enes,Kanter,5fb038ef-a3bf-4f52-afce-4f5bd074bb88,C,16,0.0,80.0,0.0,0,6,1,0,2,0,0,2,Thunder,1,1,113,21:56,18203,18203,b0c7b1c3-3902-45fa-bdb2-a8b9482a2c4b,2016-10-30T23:00:00+00:00,Enes Kanter
1149,1149,1149,Domantas,Sabonis,22038780-8c50-4211-a99e-656d983e5207,F,0,0.0,0.0,0.0,0,0,0,1,4,0,0,0,Thunder,1,1,113,6:48,18203,18203,b0c7b1c3-3902-45fa-bdb2-a8b9482a2c4b,2016-10-30T23:00:00+00:00,Domantas Sabonis
1151,1151,1151,Russell,Westbrook,74a45eed-f2b0-4886-ae71-d04cf7d59528,G,33,100.0,40.0,83.3,16,11,4,1,3,0,0,7,Thunder,1,1,113,33:39,18203,18203,b0c7b1c3-3902-45fa-bdb2-a8b9482a2c4b,2016-10-30T23:00:00+00:00,Russell Westbrook
1157,1157,1157,Ivica,Zubac,2da18268-82d4-4b40-a296-7ceddd435d0b,C,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Lakers,0,0,96,00:00,18203,18203,b0c7b1c3-3902-45fa-bdb2-a8b9482a2c4b,2016-10-30T23:00:00+00:00,Ivica Zubac
