,game_id,home_team_id,away_team_id,home_team_name,away_team_name,date,home_points,away_points,Season
36,f0c7ced0-5d0e-4f91-8082-b82653dbb5fc,5f0b5caf-708b-4300-92f2-53b51d83ec06,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Dallas Wings,Atlanta Dream,2020-08-08T16:00:00Z,85,75,2020
37,274099cf-f66b-4ac2-8314-20fa714d6f36,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Seattle Storm,Phoenix Mercury,2020-08-08T19:00:00Z,74,68,2020
38,85f40a39-281b-464d-93ff-3993180fef95,a015b02d-845c-40c1-8ef4-844984f47e4d,3c409388-ab73-4c7f-953d-3a71062240f6,Connecticut Sun,Chicago Sky,2020-08-08T21:00:00Z,93,100,2020
39,3c4140a0-f424-4459-8d6b-08be2f20fc25,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Los Angeles Sparks,Minnesota Lynx,2020-08-09T19:00:00Z,97,81,2020
40,a8a827ee-6593-46ec-8998-cd1660b01865,08ed8274-e29f-4248-bc2e-83cc8ed18d75,171b097d-01db-4ae8-9d56-035689402ec6,New York Liberty,Las Vegas Aces,2020-08-09T21:00:00Z,76,78,2020
41,c0c10ecd-9a92-470d-8559-5fb6a73171ce,f073a15f-0486-4179-b0a3-dfd0294eb595,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Indiana Fever,Washington Mystics,2020-08-09T23:00:00Z,91,84,2020
42,05d43e23-7e1e-44e5-aa93-9836efca6f52,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,a015b02d-845c-40c1-8ef4-844984f47e4d,Atlanta Dream,Connecticut Sun,2020-08-10T22:00:00Z,82,93,2020
43,b39f9b09-2698-4686-8317-642a57a7d30b,5f0b5caf-708b-4300-92f2-53b51d83ec06,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Dallas Wings,Phoenix Mercury,2020-08-10T23:00:00Z,79,91,2020
44,7a4c4cdb-5925-493d-9453-0a40d701fe23,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,3c409388-ab73-4c7f-953d-3a71062240f6,Seattle Storm,Chicago Sky,2020-08-11T01:00:00Z,89,71,2020
45,ed3199a5-5190-4700-ae7c-6067aa208773,f073a15f-0486-4179-b0a3-dfd0294eb595,171b097d-01db-4ae8-9d56-035689402ec6,Indiana Fever,Las Vegas Aces,2020-08-11T23:00:00Z,79,98,2020
46,7f529292-e4ed-451f-be8c-6e5fa7a0a0fc,6f017f37-be96-4bdc-b6d3-0a0429c72e89,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Minnesota Lynx,Washington Mystics,2020-08-12T01:00:00Z,68,48,2020
47,4aae978b-f829-4abc-8d50-c0a064f6c83b,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,08ed8274-e29f-4248-bc2e-83cc8ed18d75,Los Angeles Sparks,New York Liberty,2020-08-12T02:00:00Z,93,78,2020
48,95fbbf3b-cc8a-4b76-a8ce-cef3b9b246a0,a015b02d-845c-40c1-8ef4-844984f47e4d,5f0b5caf-708b-4300-92f2-53b51d83ec06,Connecticut Sun,Dallas Wings,2020-08-12T23:00:00Z,70,66,2020
49,a1f07dea-907d-4d8a-89f5-43f50df0c341,3c409388-ab73-4c7f-953d-3a71062240f6,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Chicago Sky,Phoenix Mercury,2020-08-13T01:00:00Z,89,71,2020
50,608d9ad6-b644-4a09-927a-4becc5392bbe,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Seattle Storm,Atlanta Dream,2020-08-13T02:00:00Z,100,63,2020
51,409ecf57-957b-4a2d-bccd-166253d36806,08ed8274-e29f-4248-bc2e-83cc8ed18d75,f073a15f-0486-4179-b0a3-dfd0294eb595,New York Liberty,Indiana Fever,2020-08-13T22:00:00Z,79,86,2020
52,33cfb790-bd61-4603-89f4-e62313af2153,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Washington Mystics,Los Angeles Sparks,2020-08-13T23:00:00Z,64,81,2020
53,46154a70-3f97-4e29-8b7e-b5d8eb760cb9,171b097d-01db-4ae8-9d56-035689402ec6,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Las Vegas Aces,Minnesota Lynx,2020-08-14T01:00:00Z,87,77,2020
54,1af411d2-ea86-4442-b933-79d4cb6701ca,3c409388-ab73-4c7f-953d-3a71062240f6,a015b02d-845c-40c1-8ef4-844984f47e4d,Chicago Sky,Connecticut Sun,2020-08-14T23:00:00Z,74,77,2020
55,353f9449-19e0-43f7-b1cd-ccbfc886093c,5f0b5caf-708b-4300-92f2-53b51d83ec06,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Dallas Wings,Seattle Storm,2020-08-15T00:00:00Z,65,83,2020
56,d873a9f6-5d35-4523-8f3b-524c3559703d,0699edf3-5993-4182-b9b4-ec935cbd4fcc,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,Phoenix Mercury,Atlanta Dream,2020-08-15T02:00:00Z,96,80,2020
57,30deae58-0a9d-4f7b-aeab-f438d61849c1,171b097d-01db-4ae8-9d56-035689402ec6,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,Las Vegas Aces,Washington Mystics,2020-08-15T16:00:00Z,88,73,2020
58,49bd76bb-0a0e-4aa0-9a07-bbbf5c4fd596,f073a15f-0486-4179-b0a3-dfd0294eb595,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,Indiana Fever,Los Angeles Sparks,2020-08-15T18:00:00Z,76,90,2020
59,aaca0cd3-a703-442d-b81e-1cd6ca464be7,6f017f37-be96-4bdc-b6d3-0a0429c72e89,08ed8274-e29f-4248-bc2e-83cc8ed18d75,Minnesota Lynx,New York Liberty,2020-08-15T22:00:00Z,94,64,2020
