,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Player_Name,Twitter_handle
24,25,Chris Paul_paulch01,OKC,14,14,33.3,6.8,13.9,0.49,1.9,4.9,0.382,3.6,3.9,0.927,0.6,5.9,6.5,5.9,1.7,0.4,3.4,2.6,19.1,15.9,Chris Paul,paulch01
25,26,Fred VanVleet_vanvlfr01,TOR,17,17,37.6,6.4,15.4,0.41200000000000003,3.4,8.6,0.397,2.9,3.4,0.86,0.3,3.9,4.2,6.8,1.6,0.6,1.9,2.4,19.0,15.8,Fred VanVleet,vanvlfr01
26,27,Bam Adebayo_adebaba01,MIA,26,26,33.5,6.0,11.2,0.536,0.0,0.1,0.5,4.5,6.0,0.7609999999999999,2.2,7.3,9.5,4.6,0.9,0.9,2.5,2.9,16.6,15.4,Bam Adebayo,adebaba01
27,28,Bogdan Bogdanović_bogdabo01,SAC,8,8,32.0,7.5,15.9,0.47200000000000003,3.4,7.6,0.44299999999999995,1.3,1.4,0.909,1.1,3.4,4.5,4.8,1.3,0.1,1.6,2.3,19.6,15.4,Bogdan Bogdanović,bogdabo01
28,29,Rudy Gobert_goberru01,UTA,13,13,35.4,6.2,9.6,0.648,0.0,0.0,,3.7,6.0,0.615,3.3,7.9,11.2,1.2,0.6,1.6,1.5,3.5,16.2,15.4,Rudy Gobert,goberru01
29,30,Mike Conley_conlemi01,UTA,11,11,32.5,6.0,13.2,0.455,3.1,7.0,0.442,3.7,4.0,0.932,0.8,2.1,2.9,5.1,1.2,0.2,1.9,2.0,18.8,15.2,Mike Conley,conlemi01
30,31,Paul George_georgpa01,LAC,19,19,35.6,7.4,17.3,0.426,3.2,8.4,0.384,3.9,4.5,0.882,0.8,4.9,5.8,3.8,1.6,0.4,2.7,3.2,21.9,15.1,Paul George,georgpa01
31,32,Tobias Harris_harrito02,PHI,11,11,34.0,7.5,17.0,0.439,1.5,4.5,0.327,3.2,4.0,0.795,2.6,5.8,8.5,3.5,0.5,0.5,1.1,2.5,19.5,15.1,Tobias Harris,harrito02
32,33,Derrick White_whitede01,SAS,7,7,29.8,5.7,12.6,0.455,3.1,8.0,0.39299999999999996,4.3,5.1,0.833,0.7,3.6,4.3,5.0,0.7,0.6,2.0,2.7,18.9,15.1,Derrick White,whitede01
33,34,Jaylen Brown_brownja02,BOS,24,24,37.7,7.8,16.8,0.462,2.7,7.4,0.36700000000000005,2.9,3.8,0.778,1.3,5.9,7.2,2.0,1.5,0.5,2.1,2.7,21.1,14.9,Jaylen Brown,brownja02
34,35,Ja Morant_moranja01,MEM,8,8,37.8,6.8,17.1,0.39399999999999996,1.1,5.0,0.225,4.4,5.4,0.8140000000000001,0.9,5.5,6.4,9.9,0.5,0.4,3.6,2.5,19.0,14.6,Ja Morant,moranja01
35,36,CJ McCollum_mccolcj01,POR,13,13,40.3,8.2,18.7,0.436,2.5,6.8,0.371,2.5,3.3,0.7440000000000001,0.8,4.8,5.5,4.5,1.1,0.4,2.0,2.6,21.3,14.5,CJ McCollum,mccolcj01
36,37,Jusuf Nurkić_nurkiju01,POR,13,13,31.9,6.1,12.8,0.47600000000000003,0.4,1.6,0.23800000000000002,3.8,4.5,0.845,2.8,7.5,10.3,3.8,1.4,1.3,2.5,4.6,16.3,14.4,Jusuf Nurkić,nurkiju01
37,38,Kyle Lowry_lowryky01,TOR,17,17,35.9,5.1,12.4,0.414,2.0,6.2,0.321,5.1,6.3,0.813,0.6,6.1,6.6,5.8,1.8,0.7,3.1,3.6,17.4,14.3,Kyle Lowry,lowryky01
38,39,Jonas Valančiūnas_valanjo01,MEM,8,8,26.9,5.9,10.3,0.573,0.4,1.5,0.25,3.1,4.0,0.7809999999999999,2.9,8.6,11.5,2.8,0.6,0.9,2.5,3.3,15.3,14.0,Jonas Valančiūnas,valanjo01
39,40,Brook Lopez_lopezbr01,MIL,17,17,30.7,6.4,12.6,0.509,2.3,5.5,0.415,2.6,3.0,0.863,2.1,3.5,5.6,0.5,0.8,1.6,1.1,2.5,17.7,13.9,Brook Lopez,lopezbr01
40,41,Rudy Gay_gayru01,SAS,7,0,24.8,6.3,13.4,0.46799999999999997,2.3,5.0,0.457,3.0,3.3,0.9129999999999999,0.7,5.0,5.7,1.9,1.3,0.7,1.4,2.0,17.9,13.7,Rudy Gay,gayru01
41,42,Joe Harris_harrijo01,BRK,8,8,31.2,7.6,12.8,0.598,3.4,6.1,0.551,0.5,1.3,0.4,0.8,5.0,5.8,2.0,0.5,0.1,1.8,3.8,19.1,13.7,Joe Harris,harrijo01
42,43,Khris Middleton_middlkh01,MIL,17,17,32.6,6.9,16.3,0.426,2.2,5.9,0.366,4.0,4.5,0.883,0.5,5.9,6.5,5.9,0.8,0.1,3.4,3.6,20.1,13.5,Khris Middleton,middlkh01
43,44,Kemba Walker_walkeke02,BOS,23,23,33.9,6.1,13.6,0.45,2.3,7.0,0.335,3.6,4.3,0.847,0.4,3.2,3.6,4.7,0.7,0.4,1.8,2.5,18.2,13.5,Kemba Walker,walkeke02
44,45,Goran Dragić_dragigo01,MIA,22,18,31.1,6.7,15.0,0.45,2.0,6.0,0.326,3.2,3.9,0.8140000000000001,0.7,3.4,4.1,4.7,1.2,0.2,2.3,3.1,18.6,13.1,Goran Dragić,dragigo01
45,46,Aaron Gordon_gordoaa01,ORL,4,4,25.9,5.3,10.3,0.512,1.3,2.8,0.455,3.5,5.3,0.667,1.0,7.5,8.5,3.3,0.3,0.8,1.5,2.3,15.3,13.1,Aaron Gordon,gordoaa01
46,47,Deandre Ayton_aytonde01,PHO,8,7,30.0,6.9,12.9,0.534,0.4,1.3,0.3,0.9,1.4,0.636,3.0,6.5,9.5,1.9,0.5,0.9,1.1,2.5,15.0,12.9,Deandre Ayton,aytonde01
47,48,Shai Gilgeous-Alexander_gilgesh01,OKC,14,14,35.2,5.4,12.1,0.441,1.6,4.6,0.359,4.0,4.5,0.889,0.4,4.3,4.6,3.8,1.1,0.4,2.3,1.9,16.4,12.4,Shai Gilgeous-Alexander,gilgesh01
48,49,Brandon Ingram_ingrabr01,NOP,6,6,30.8,6.3,15.0,0.42200000000000004,2.2,5.0,0.433,5.0,6.3,0.789,0.3,4.7,5.0,3.0,0.8,0.2,2.5,2.8,19.8,12.4,Brandon Ingram,ingrabr01
49,50,Russell Westbrook_westbru01,HOU,12,12,33.9,7.9,18.5,0.428,1.0,3.8,0.267,3.2,5.5,0.5760000000000001,1.4,5.3,6.8,5.7,1.4,0.4,4.1,3.0,20.0,12.3,Russell Westbrook,westbru01
50,51,Keldon Johnson_johnske04,SAS,8,1,26.1,4.6,7.3,0.638,1.4,2.1,0.647,3.5,4.3,0.8240000000000001,0.6,4.4,5.0,1.1,1.1,0.1,1.3,2.4,14.1,12.2,Keldon Johnson,johnske04
51,52,J.J. Redick_redicjj01,NOP,6,1,26.0,5.8,12.2,0.479,4.0,8.7,0.462,3.0,3.7,0.818,0.2,1.7,1.8,1.8,0.2,0.2,1.7,1.7,18.7,12.1,J.J. Redick,redicjj01
52,53,Ricky Rubio_rubiori01,PHO,8,8,26.8,4.4,10.1,0.43200000000000005,1.5,3.5,0.429,2.6,2.8,0.955,0.5,4.4,4.9,7.9,0.8,0.3,2.3,3.0,12.9,12.1,Ricky Rubio,rubiori01
53,54,Gordon Hayward_haywago01,BOS,12,8,33.0,5.4,11.9,0.455,1.5,4.8,0.316,3.1,3.5,0.8809999999999999,1.1,5.1,6.2,3.4,0.8,0.3,2.0,2.1,15.4,12.0,Gordon Hayward,haywago01
54,55,Zion Williamson_willizi01,NOP,5,5,20.7,7.6,13.6,0.5589999999999999,0.0,0.2,0.0,3.2,5.2,0.615,1.8,2.4,4.2,1.8,0.0,0.0,1.6,2.0,18.4,12.0,Zion Williamson,willizi01
55,56,Cameron Johnson_johnsca02,PHO,8,8,32.4,5.0,10.0,0.5,1.9,5.4,0.349,1.4,1.4,1.0,1.3,4.6,5.9,2.1,0.8,0.5,0.4,2.0,13.3,11.9,Cameron Johnson,johnsca02
56,57,Dario Šarić_saricda01,PHO,8,1,23.8,4.9,8.5,0.574,1.4,2.6,0.524,3.6,4.1,0.879,1.4,6.3,7.6,1.8,0.4,0.1,2.0,3.0,14.8,11.9,Dario Šarić,saricda01
57,58,Jahlil Okafor_okafoja01,NOP,2,0,21.4,6.5,9.0,0.722,0.0,0.5,0.0,1.5,2.0,0.75,1.0,3.0,4.0,0.5,0.0,1.5,1.0,2.0,14.5,11.8,Jahlil Okafor,okafoja01
