Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Sat May 14 2016,Connecticut Sun,70,Chicago Sky,93,Box Score
Sat May 14 2016,Dallas Wings,90,Indiana Fever,79,Box Score
Sat May 14 2016,Phoenix Mercury,76,Minnesota Lynx,95,Box Score
Sat May 14 2016,Atlanta Dream,73,San Antonio Silver Stars,63,Box Score
Sat May 14 2016,New York Liberty,87,Washington Mystics,76,Box Score
Sun May 15 2016,Seattle Storm,66,Los Angeles Sparks,96,Box Score
Sun May 15 2016,Dallas Wings,71,New York Liberty,79,Box Score
Wed May 18 2016,Minnesota Lynx,97,Chicago Sky,80,Box Score
Wed May 18 2016,Phoenix Mercury,93,Indiana Fever,97,Box Score
Wed May 18 2016,Dallas Wings,87,Washington Mystics,77,Box Score
Thu May 19 2016,Connecticut Sun,72,San Antonio Silver Stars,68,Box Score
Fri May 20 2016,Atlanta Dream,85,Indiana Fever,94,Box Score
Fri May 20 2016,Seattle Storm,81,Phoenix Mercury,80,Box Score
Fri May 20 2016,Los Angeles Sparks,97,Washington Mystics,67,Box Score
Sat May 21 2016,Washington Mystics,84,Connecticut Sun,76,Box Score
Sat May 21 2016,San Antonio Silver Stars,77,Dallas Wings,82,Box Score
Sat May 21 2016,Los Angeles Sparks,79,New York Liberty,72,Box Score
Sun May 22 2016,Chicago Sky,81,Atlanta Dream,87,Box Score
Sun May 22 2016,Minnesota Lynx,78,Seattle Storm,71,Box Score
Tue May 24 2016,Los Angeles Sparks,93,Chicago Sky,80,Box Score
Tue May 24 2016,Atlanta Dream,85,New York Liberty,79,Box Score
Wed May 25 2016,Minnesota Lynx,85,Phoenix Mercury,78,Box Score
Thu May 26 2016,Los Angeles Sparks,77,Connecticut Sun,72,Box Score
Thu May 26 2016,Washington Mystics,84,Seattle Storm,82,Box Score
Fri May 27 2016,Atlanta Dream,102,Dallas Wings,93,Box Score
Fri May 27 2016,Indiana Fever,71,Minnesota Lynx,74,Box Score
Fri May 27 2016,Chicago Sky,78,San Antonio Silver Stars,79,Box Score
Sat May 28 2016,Connecticut Sun,82,Seattle Storm,93,Box Score
Sun May 29 2016,Indiana Fever,76,Atlanta Dream,85,Box Score
Sun May 29 2016,Chicago Sky,92,Dallas Wings,87,Box Score
Sun May 29 2016,Washington Mystics,77,Phoenix Mercury,93,Box Score
Tue May 31 2016,Minnesota Lynx,79,New York Liberty,69,Box Score
Tue May 31 2016,Connecticut Sun,90,Phoenix Mercury,99,Box Score
Wed Jun 1 2016,Seattle Storm,75,Indiana Fever,85,Box Score
Wed Jun 1 2016,Chicago Sky,86,Washington Mystics,78,Box Score
Thu Jun 2 2016,San Antonio Silver Stars,61,Los Angeles Sparks,68,Box Score
Fri Jun 3 2016,Washington Mystics,72,Chicago Sky,98,Box Score
Fri Jun 3 2016,Atlanta Dream,83,Connecticut Sun,77,Box Score
Fri Jun 3 2016,Indiana Fever,59,New York Liberty,91,Box Score
Fri Jun 3 2016,Phoenix Mercury,81,Seattle Storm,95,Box Score
Sat Jun 4 2016,Dallas Wings,63,Minnesota Lynx,80,Box Score
Sat Jun 4 2016,Los Angeles Sparks,74,San Antonio Silver Stars,61,Box Score
Sun Jun 5 2016,Washington Mystics,86,Atlanta Dream,79,Box Score
Sun Jun 5 2016,Indiana Fever,88,Connecticut Sun,77,Box Score
Sun Jun 5 2016,New York Liberty,86,Seattle Storm,78,Box Score
Tue Jun 7 2016,New York Liberty,77,Los Angeles Sparks,100,Box Score
Tue Jun 7 2016,Phoenix Mercury,81,Minnesota Lynx,89,Box Score
Wed Jun 8 2016,Washington Mystics,87,Dallas Wings,79,Box Score
Thu Jun 9 2016,San Antonio Silver Stars,75,Phoenix Mercury,90,Box Score
Fri Jun 10 2016,Minnesota Lynx,110,Atlanta Dream,78,Box Score
Fri Jun 10 2016,Seattle Storm,76,Connecticut Sun,77,Box Score
Fri Jun 10 2016,Chicago Sky,73,Indiana Fever,64,Box Score
Sat Jun 11 2016,Los Angeles Sparks,97,Dallas Wings,73,Box Score
Sat Jun 11 2016,New York Liberty,90,San Antonio Silver Stars,75,Box Score
Sat Jun 11 2016,Minnesota Lynx,83,Washington Mystics,76,Box Score
Sun Jun 12 2016,Connecticut Sun,87,Atlanta Dream,93,Box Score
Sun Jun 12 2016,Seattle Storm,90,Indiana Fever,88,Box Score
Sun Jun 12 2016,Chicago Sky,80,Phoenix Mercury,86,Box Score
Tue Jun 14 2016,Washington Mystics,109,Connecticut Sun,106,Box Score
Tue Jun 14 2016,Chicago Sky,85,Los Angeles Sparks,98,Box Score
Tue Jun 14 2016,Indiana Fever,63,Minnesota Lynx,87,Box Score
Tue Jun 14 2016,Dallas Wings,88,New York Liberty,91,Box Score
Tue Jun 14 2016,Seattle Storm,70,San Antonio Silver Stars,77,Box Score
Thu Jun 16 2016,New York Liberty,80,Connecticut Sun,72,Box Score
Thu Jun 16 2016,Seattle Storm,79,Dallas Wings,88,Box Score
Fri Jun 17 2016,Chicago Sky,97,Atlanta Dream,101,Box Score
Fri Jun 17 2016,Phoenix Mercury,71,Los Angeles Sparks,77,Box Score
Fri Jun 17 2016,Indiana Fever,84,San Antonio Silver Stars,75,Box Score
Sat Jun 18 2016,Dallas Wings,117,Phoenix Mercury,111,Box Score
Sat Jun 18 2016,Atlanta Dream,65,Washington Mystics,95,Box Score
Sun Jun 19 2016,San Antonio Silver Stars,90,Connecticut Sun,93,Box Score
Sun Jun 19 2016,New York Liberty,78,Indiana Fever,75,Box Score
Sun Jun 19 2016,Minnesota Lynx,96,Seattle Storm,84,Box Score
Tue Jun 21 2016,San Antonio Silver Stars,75,Chicago Sky,81,Box Score
