Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Tue Jun 21 2016,Phoenix Mercury,90,Dallas Wings,100,Box Score
Tue Jun 21 2016,Minnesota Lynx,72,Los Angeles Sparks,69,Box Score
Wed Jun 22 2016,New York Liberty,90,Atlanta Dream,79,Box Score
Wed Jun 22 2016,Indiana Fever,62,Washington Mystics,76,Box Score
Thu Jun 23 2016,San Antonio Silver Stars,90,Dallas Wings,97,Box Score
Fri Jun 24 2016,Los Angeles Sparks,94,Minnesota Lynx,76,Box Score
Fri Jun 24 2016,Chicago Sky,79,New York Liberty,80,Box Score
Fri Jun 24 2016,Connecticut Sun,81,Seattle Storm,98,Box Score
Fri Jun 24 2016,Phoenix Mercury,91,Washington Mystics,79,Box Score
Sat Jun 25 2016,Indiana Fever,92,Dallas Wings,87,Box Score
Sat Jun 25 2016,Atlanta Dream,69,San Antonio Silver Stars,73,Box Score
Sun Jun 26 2016,Connecticut Sun,73,Los Angeles Sparks,80,Box Score
Sun Jun 26 2016,Phoenix Mercury,104,New York Liberty,97,Box Score
Sun Jun 26 2016,Minnesota Lynx,63,Washington Mystics,87,Box Score
Tue Jun 28 2016,Dallas Wings,84,Los Angeles Sparks,89,Box Score
Tue Jun 28 2016,Atlanta Dream,81,Seattle Storm,84,Box Score
Wed Jun 29 2016,Indiana Fever,95,Chicago Sky,83,Box Score
Wed Jun 29 2016,New York Liberty,95,Minnesota Lynx,92,Box Score
Wed Jun 29 2016,Connecticut Sun,75,Phoenix Mercury,86,Box Score
Wed Jun 29 2016,San Antonio Silver Stars,67,Washington Mystics,84,Box Score
Thu Jun 30 2016,Atlanta Dream,75,Los Angeles Sparks,84,Box Score
Thu Jun 30 2016,Dallas Wings,83,Seattle Storm,78,Box Score
Fri Jul 1 2016,Washington Mystics,84,Chicago Sky,86,Box Score
Fri Jul 1 2016,San Antonio Silver Stars,87,Indiana Fever,85,Box Score
Fri Jul 1 2016,New York Liberty,99,Phoenix Mercury,88,Box Score
Sat Jul 2 2016,Connecticut Sun,86,Dallas Wings,83,Box Score
Sat Jul 2 2016,San Antonio Silver Stars,68,Minnesota Lynx,91,Box Score
Sun Jul 3 2016,Phoenix Mercury,95,Atlanta Dream,87,Box Score
Sun Jul 3 2016,New York Liberty,67,Los Angeles Sparks,77,Box Score
Tue Jul 5 2016,Seattle Storm,64,Atlanta Dream,77,Box Score
Tue Jul 5 2016,Phoenix Mercury,74,Dallas Wings,77,Box Score
Tue Jul 5 2016,Chicago Sky,82,Minnesota Lynx,87,Box Score
Wed Jul 6 2016,Indiana Fever,88,Los Angeles Sparks,94,Box Score
Wed Jul 6 2016,Seattle Storm,74,New York Liberty,78,Box Score
Wed Jul 6 2016,Washington Mystics,70,San Antonio Silver Stars,77,Box Score
Thu Jul 7 2016,Minnesota Lynx,89,Connecticut Sun,93,Box Score
Fri Jul 8 2016,Dallas Wings,90,Atlanta Dream,95,Box Score
Fri Jul 8 2016,New York Liberty,88,Chicago Sky,85,Box Score
Fri Jul 8 2016,Indiana Fever,78,Phoenix Mercury,60,Box Score
Fri Jul 8 2016,Seattle Storm,78,San Antonio Silver Stars,68,Box Score
Sat Jul 9 2016,Dallas Wings,56,Minnesota Lynx,93,Box Score
Sun Jul 10 2016,Phoenix Mercury,95,Chicago Sky,100,Box Score
Sun Jul 10 2016,Atlanta Dream,67,Connecticut Sun,63,Box Score
Sun Jul 10 2016,Washington Mystics,82,Los Angeles Sparks,93,Box Score
Sun Jul 10 2016,San Antonio Silver Stars,65,New York Liberty,75,Box Score
Sun Jul 10 2016,Indiana Fever,93,Seattle Storm,82,Box Score
Tue Jul 12 2016,Minnesota Lynx,81,San Antonio Silver Stars,57,Box Score
Wed Jul 13 2016,Los Angeles Sparks,77,Chicago Sky,67,Box Score
Wed Jul 13 2016,Connecticut Sun,86,Indiana Fever,64,Box Score
Wed Jul 13 2016,Atlanta Dream,62,New York Liberty,86,Box Score
Wed Jul 13 2016,Washington Mystics,74,Phoenix Mercury,78,Box Score
Fri Jul 15 2016,Dallas Wings,77,Chicago Sky,84,Box Score
Fri Jul 15 2016,Los Angeles Sparks,98,Connecticut Sun,92,Box Score
Fri Jul 15 2016,Atlanta Dream,72,Indiana Fever,78,Box Score
Fri Jul 15 2016,New York Liberty,70,Minnesota Lynx,88,Box Score
Fri Jul 15 2016,Washington Mystics,51,Seattle Storm,80,Box Score
Sat Jul 16 2016,San Antonio Silver Stars,64,Phoenix Mercury,83,Box Score
Sun Jul 17 2016,Los Angeles Sparks,74,Atlanta Dream,91,Box Score
Sun Jul 17 2016,Minnesota Lynx,98,Dallas Wings,97,Box Score
Sun Jul 17 2016,Connecticut Sun,76,New York Liberty,83,Box Score
Sun Jul 17 2016,Chicago Sky,91,Seattle Storm,88,Box Score
Tue Jul 19 2016,Los Angeles Sparks,82,Indiana Fever,92,Box Score
Tue Jul 19 2016,Chicago Sky,79,Phoenix Mercury,77,Box Score
Wed Jul 20 2016,Connecticut Sun,89,Dallas Wings,78,Box Score
Wed Jul 20 2016,Atlanta Dream,65,Minnesota Lynx,83,Box Score
Wed Jul 20 2016,San Antonio Silver Stars,69,Seattle Storm,83,Box Score
Wed Jul 20 2016,New York Liberty,88,Washington Mystics,81,Box Score
Thu Jul 21 2016,Indiana Fever,82,New York Liberty,70,Box Score
Fri Jul 22 2016,Dallas Wings,88,Atlanta Dream,93,Box Score
Fri Jul 22 2016,Connecticut Sun,94,Chicago Sky,89,Box Score
Fri Jul 22 2016,Seattle Storm,72,Minnesota Lynx,79,Box Score
Fri Jul 22 2016,Los Angeles Sparks,95,Washington Mystics,75,Box Score
Fri Aug 26 2016,Atlanta Dream,82,Chicago Sky,90,Box Score
Fri Aug 26 2016,Minnesota Lynx,80,Connecticut Sun,84,Box Score
Fri Aug 26 2016,Dallas Wings,72,Phoenix Mercury,98,Box Score
Fri Aug 26 2016,New York Liberty,84,San Antonio Silver Stars,77,Box Score
Fri Aug 26 2016,Los Angeles Sparks,72,Seattle Storm,79,Box Score
Sat Aug 27 2016,Washington Mystics,92,Indiana Fever,69,Box Score
Sun Aug 28 2016,Connecticut Sun,73,Atlanta Dream,87,Box Score
Sun Aug 28 2016,Chicago Sky,92,Dallas Wings,85,Box Score
Sun Aug 28 2016,Seattle Storm,80,Minnesota Lynx,92,Box Score
Sun Aug 28 2016,Los Angeles Sparks,66,Phoenix Mercury,70,Box Score
Sun Aug 28 2016,San Antonio Silver Stars,85,Washington Mystics,74,Box Score
Tue Aug 30 2016,San Antonio Silver Stars,62,Connecticut Sun,89,Box Score
Tue Aug 30 2016,Phoenix Mercury,79,Indiana Fever,65,Box Score
Wed Aug 31 2016,Dallas Wings,66,Seattle Storm,78,Box Score
Thu Sep 1 2016,New York Liberty,77,Indiana Fever,98,Box Score
Thu Sep 1 2016,Los Angeles Sparks,70,San Antonio Silver Stars,61,Box Score
Fri Sep 2 2016,Seattle Storm,88,Chicago Sky,92,Box Score
Fri Sep 2 2016,Phoenix Mercury,74,Connecticut Sun,87,Box Score
Fri Sep 2 2016,Los Angeles Sparks,87,Dallas Wings,79,Box Score
Fri Sep 2 2016,Washington Mystics,69,Minnesota Lynx,75,Box Score
Sat Sep 3 2016,Phoenix Mercury,70,New York Liberty,92,Box Score
Sun Sep 4 2016,Seattle Storm,91,Atlanta Dream,82,Box Score
Sun Sep 4 2016,San Antonio Silver Stars,73,Chicago Sky,97,Box Score
Sun Sep 4 2016,Washington Mystics,88,Dallas Wings,83,Box Score
Sun Sep 4 2016,Indiana Fever,81,Los Angeles Sparks,88,Box Score
Sun Sep 4 2016,Connecticut Sun,79,Minnesota Lynx,93,Box Score
Tue Sep 6 2016,Phoenix Mercury,87,Atlanta Dream,91,Box Score
Tue Sep 6 2016,Minnesota Lynx,77,Los Angeles Sparks,74,Box Score
Tue Sep 6 2016,Indiana Fever,71,San Antonio Silver Stars,69,Box Score
Wed Sep 7 2016,Seattle Storm,102,New York Liberty,78,Box Score
Wed Sep 7 2016,Chicago Sky,81,Washington Mystics,118,Box Score
Thu Sep 8 2016,Atlanta Dream,86,Los Angeles Sparks,81,Box Score
Fri Sep 9 2016,Chicago Sky,88,Indiana Fever,95,Box Score
Fri Sep 9 2016,Connecticut Sun,82,New York Liberty,89,Box Score
Fri Sep 9 2016,Dallas Wings,92,San Antonio Silver Stars,84,Box Score
Fri Sep 9 2016,Seattle Storm,81,Washington Mystics,76,Box Score
Sun Sep 11 2016,Chicago Sky,96,Connecticut Sun,86,Box Score
Sun Sep 11 2016,New York Liberty,81,Dallas Wings,84,Box Score
Sun Sep 11 2016,Atlanta Dream,75,Phoenix Mercury,86,Box Score
Sun Sep 11 2016,Minnesota Lynx,81,San Antonio Silver Stars,76,Box Score
Sun Sep 11 2016,Los Angeles Sparks,60,Seattle Storm,78,Box Score
Sun Sep 11 2016,Indiana Fever,80,Washington Mystics,73,Box Score
Tue Sep 13 2016,San Antonio Silver Stars,71,Atlanta Dream,67,Box Score
Tue Sep 13 2016,Minnesota Lynx,97,Chicago Sky,98,Box Score
Tue Sep 13 2016,Indiana Fever,87,Connecticut Sun,89,Box Score
Tue Sep 13 2016,Phoenix Mercury,85,Los Angeles Sparks,90,Box Score
Tue Sep 13 2016,Washington Mystics,75,New York Liberty,62,Box Score
Thu Sep 15 2016,Washington Mystics,91,Atlanta Dream,94,Box Score
Thu Sep 15 2016,Seattle Storm,62,Phoenix Mercury,86,Box Score
Fri Sep 16 2016,New York Liberty,68,Chicago Sky,92,Box Score
Fri Sep 16 2016,Dallas Wings,74,Connecticut Sun,107,Box Score
Fri Sep 16 2016,Minnesota Lynx,82,Indiana Fever,75,Box Score
Fri Sep 16 2016,San Antonio Silver Stars,65,Los Angeles Sparks,71,Box Score
Sat Sep 17 2016,Atlanta Dream,87,Minnesota Lynx,95,Box Score
Sun Sep 18 2016,Dallas Wings,60,Indiana Fever,83,Box Score
Sun Sep 18 2016,Phoenix Mercury,81,San Antonio Silver Stars,65,Box Score
Sun Sep 18 2016,Chicago Sky,75,Seattle Storm,88,Box Score
Sun Sep 18 2016,Connecticut Sun,87,Washington Mystics,78,Box Score
Wed Sep 21 2016,Seattle Storm,85,Atlanta Dream,94,Box Score
Wed Sep 21 2016,Phoenix Mercury,89,Indiana Fever,78,Box Score
Sat Sep 24 2016,Phoenix Mercury,101,New York Liberty,94,Box Score
Sun Sep 25 2016,Atlanta Dream,98,Chicago Sky,108,Box Score
Wed Sep 28 2016,Chicago Sky,75,Los Angeles Sparks,95,Box Score
Wed Sep 28 2016,Phoenix Mercury,95,Minnesota Lynx,113,Box Score
Fri Sep 30 2016,Chicago Sky,84,Los Angeles Sparks,99,Box Score
Fri Sep 30 2016,Phoenix Mercury,86,Minnesota Lynx,96,Box Score
Sun Oct 2 2016,Los Angeles Sparks,66,Chicago Sky,70,Box Score
Sun Oct 2 2016,Minnesota Lynx,82,Phoenix Mercury,67,Box Score
Tue Oct 4 2016,Los Angeles Sparks,95,Chicago Sky,75,Box Score
Sun Oct 9 2016,Los Angeles Sparks,78,Minnesota Lynx,76,Box Score
Tue Oct 11 2016,Los Angeles Sparks,60,Minnesota Lynx,79,Box Score
Fri Oct 14 2016,Minnesota Lynx,75,Los Angeles Sparks,92,Box Score
Sun Oct 16 2016,Minnesota Lynx,85,Los Angeles Sparks,79,Box Score
Thu Oct 20 2016,Los Angeles Sparks,77,Minnesota Lynx,76,Box Score
