,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_Name,Twitter_handle
199,150,Dante Exum_exumda01,SG,24,TOT,35,1,485,56,119,0.47100000000000003,15,43,0.349,41,76,0.539,0.534,32,43,0.7440000000000001,12,55,67,40,13,8,31,38,159,Dante Exum,exumda01
200,150,Dante Exum_exumda01,SG,24,UTA,11,0,83,10,23,0.435,2,6,0.33299999999999996,8,17,0.47100000000000003,0.478,2,2,1.0,3,9,12,7,1,2,10,8,24,Dante Exum,exumda01
201,150,Dante Exum_exumda01,SG,24,CLE,24,1,402,46,96,0.479,13,37,0.35100000000000003,33,59,0.5589999999999999,0.547,30,41,0.732,9,46,55,33,12,6,21,30,135,Dante Exum,exumda01
202,151,Tacko Fall_fallta01,C,24,BOS,7,0,33,11,14,0.7859999999999999,0,0,,11,14,0.7859999999999999,0.7859999999999999,1,3,0.33299999999999996,1,14,15,1,1,4,3,7,23,Tacko Fall,fallta01
203,152,Derrick Favors_favorde01,C,28,NOP,51,49,1243,209,339,0.617,1,7,0.14300000000000002,208,332,0.627,0.618,40,71,0.563,163,338,501,81,30,46,55,107,459,Derrick Favors,favorde01
204,153,Cristiano Felício_feliccr01,PF,27,CHI,22,0,386,34,54,0.63,0,2,0.0,34,52,0.654,0.63,18,23,0.7829999999999999,55,47,102,16,10,2,18,34,86,Cristiano Felício,feliccr01
205,154,Terrance Ferguson_fergute01,SF,21,OKC,56,38,1257,78,220,0.355,49,168,0.292,29,52,0.5579999999999999,0.466,15,20,0.75,23,51,74,51,27,17,31,155,220,Terrance Ferguson,fergute01
206,155,Bruno Fernando_fernabr01,C,21,ATL,56,13,713,103,199,0.518,5,37,0.135,98,162,0.605,0.53,29,51,0.569,67,131,198,49,18,17,42,107,240,Bruno Fernando,fernabr01
207,156,Yogi Ferrell_ferreyo01,PG,26,SAC,50,0,530,79,188,0.42,24,79,0.304,55,109,0.505,0.484,36,42,0.857,6,43,49,69,18,4,28,38,218,Yogi Ferrell,ferreyo01
208,157,Dorian Finney-Smith_finnedo01,PF,26,DAL,71,68,2120,243,522,0.466,114,303,0.376,129,219,0.589,0.575,78,108,0.722,145,260,405,114,45,39,69,178,678,Dorian Finney-Smith,finnedo01
