,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_Name,Twitter_handle
291,224,Justin Holiday_holidju01,SG,30,IND,73,6,1826,208,486,0.428,134,331,0.405,74,155,0.47700000000000004,0.5660000000000001,53,67,0.7909999999999999,32,206,238,93,87,46,44,137,603,Justin Holiday,holidju01
292,225,Rondae Hollis-Jefferson_holliro01,SF,25,TOR,60,6,1122,155,329,0.47100000000000003,3,23,0.13,152,306,0.49700000000000005,0.47600000000000003,105,143,0.7340000000000001,110,173,283,106,46,23,59,115,418,Rondae Hollis-Jefferson,holliro01
293,226,Richaun Holmes_holmeri01,C,26,SAC,44,38,1242,223,344,0.648,0,0,,223,344,0.648,0.648,93,118,0.7879999999999999,127,231,358,42,41,56,52,169,539,Richaun Holmes,holmeri01
294,227,Rodney Hood_hoodro01,SF,27,POR,21,21,619,87,172,0.506,35,71,0.493,52,101,0.515,0.608,21,27,0.778,10,62,72,32,17,4,19,46,230,Rodney Hood,hoodro01
295,228,Al Horford_horfoal01,C,33,PHI,67,61,2025,319,709,0.45,99,283,0.35,220,426,0.516,0.52,61,80,0.763,103,353,456,270,52,61,80,142,798,Al Horford,horfoal01
296,229,Talen Horton-Tucker_hortota01,SG,19,LAL,6,1,81,14,30,0.467,4,13,0.308,10,17,0.588,0.5329999999999999,2,4,0.5,2,5,7,6,8,1,6,10,34,Talen Horton-Tucker,hortota01
297,230,Danuel House_houseda01,SF,26,HOU,63,52,1913,230,539,0.42700000000000005,129,355,0.363,101,184,0.5489999999999999,0.546,73,90,0.8109999999999999,57,210,267,85,67,34,54,132,662,Danuel House,houseda01
298,231,Dwight Howard_howardw01,C,34,LAL,69,2,1306,202,277,0.7290000000000001,3,5,0.6,199,272,0.732,0.735,110,214,0.514,172,335,507,45,31,79,84,222,517,Dwight Howard,howardw01
299,232,William Howard_howarwi01,PF,26,HOU,2,0,13,0,4,0.0,0,4,0.0,0,0,,0.0,0,0,,0,2,2,1,0,0,1,1,0,William Howard,howarwi01
300,233,Kevin Huerter_huertke01,SG,21,ATL,56,48,1760,252,610,0.413,127,334,0.38,125,276,0.45299999999999996,0.517,53,64,0.828,35,193,228,213,51,27,87,139,684,Kevin Huerter,huertke01
301,234,De'Andre Hunter_huntede01,SF,22,ATL,63,62,2018,280,683,0.41,108,304,0.355,172,379,0.45399999999999996,0.489,110,144,0.764,44,242,286,112,44,18,103,182,778,De'Andre Hunter,huntede01
302,235,Chandler Hutchison_hutchch01,SF,23,CHI,28,10,527,80,175,0.457,12,38,0.316,68,137,0.496,0.491,46,78,0.59,18,90,108,26,27,7,27,47,218,Chandler Hutchison,hutchch01
303,236,Serge Ibaka_ibakase01,C,30,TOR,55,27,1485,343,670,0.512,70,182,0.385,273,488,0.5589999999999999,0.564,89,124,0.718,114,338,452,77,28,46,109,153,845,Serge Ibaka,ibakase01
304,237,Andre Iguodala_iguodan01,SG,36,MIA,21,0,418,38,88,0.43200000000000005,14,47,0.298,24,41,0.585,0.511,6,15,0.4,17,61,78,51,14,21,26,35,96,Andre Iguodala,iguodan01
305,238,Ersan İlyasova_ilyaser01,PF,32,MIL,63,8,986,146,313,0.466,50,137,0.365,96,176,0.545,0.546,72,87,0.828,62,240,302,49,24,17,34,95,414,Ersan İlyasova,ilyaser01
306,239,Joe Ingles_inglejo01,SF,32,UTA,72,45,2137,246,553,0.445,141,353,0.39899999999999997,105,200,0.525,0.5720000000000001,74,94,0.787,27,251,278,373,65,11,142,154,707,Joe Ingles,inglejo01
307,240,Brandon Ingram_ingrabr01,PF,22,NOP,62,62,2104,507,1096,0.46299999999999997,150,384,0.391,357,712,0.501,0.531,313,368,0.851,51,329,380,259,61,38,189,179,1477,Brandon Ingram,ingrabr01
308,241,Kyrie Irving_irvinky01,PG,27,BRK,20,20,658,199,416,0.478,56,142,0.39399999999999996,143,274,0.522,0.546,94,102,0.922,22,81,103,128,27,10,52,53,548,Kyrie Irving,irvinky01
309,242,Jonathan Isaac_isaacjo01,SF,22,ORL,34,32,980,156,332,0.47,32,94,0.34,124,238,0.521,0.518,60,77,0.779,58,173,231,48,53,78,49,83,404,Jonathan Isaac,isaacjo01
310,243,Wesley Iwundu_iwundwe01,SF,25,ORL,52,21,953,97,233,0.41600000000000004,28,82,0.341,69,151,0.457,0.47600000000000003,78,97,0.804,24,107,131,60,25,13,26,80,300,Wesley Iwundu,iwundwe01
311,244,Frank Jackson_jacksfr01,PG,21,NOP,59,2,797,134,331,0.405,47,144,0.326,87,187,0.465,0.47600000000000003,56,75,0.747,22,61,83,61,17,4,49,77,371,Frank Jackson,jacksfr01
312,245,Jaren Jackson Jr._jacksja02,C,20,MEM,57,57,1622,353,753,0.469,145,368,0.39399999999999996,208,385,0.54,0.565,139,186,0.747,55,207,262,78,40,92,99,232,990,Jaren Jackson Jr.,jacksja02
313,246,Josh Jackson_jacksjo02,SG,22,MEM,22,0,381,70,159,0.44,23,72,0.319,47,87,0.54,0.513,35,50,0.7,11,55,66,35,18,9,28,40,198,Josh Jackson,jacksjo02
314,247,Justin Jackson_jacksju01,PF,24,DAL,65,3,1045,135,341,0.396,48,163,0.294,87,178,0.489,0.466,42,50,0.84,27,127,154,52,15,10,14,69,360,Justin Jackson,jacksju01
315,248,Reggie Jackson_jacksre01,PG,29,TOT,31,16,743,134,326,0.41100000000000003,57,145,0.39299999999999996,77,181,0.425,0.498,45,54,0.833,17,75,92,126,13,5,51,59,370,Reggie Jackson,jacksre01
316,248,Reggie Jackson_jacksre01,PG,29,DET,14,10,381,76,198,0.384,31,82,0.37799999999999995,45,116,0.38799999999999996,0.462,26,33,0.7879999999999999,11,30,41,72,8,1,23,21,209,Reggie Jackson,jacksre01
317,248,Reggie Jackson_jacksre01,PG,29,LAC,17,6,362,58,128,0.45299999999999996,26,63,0.413,32,65,0.49200000000000005,0.555,19,21,0.905,6,45,51,54,5,4,28,38,161,Reggie Jackson,jacksre01
318,249,Justin James_jamesju01,SG,23,SAC,36,0,232,35,84,0.41700000000000004,9,29,0.31,26,55,0.473,0.47,10,21,0.47600000000000003,6,26,32,18,6,9,8,17,89,Justin James,jamesju01
319,250,LeBron James_jamesle01,PG,35,LAL,67,67,2316,643,1303,0.493,148,425,0.348,495,878,0.564,0.55,264,381,0.693,66,459,525,684,78,36,261,118,1698,LeBron James,jamesle01
320,251,Amile Jefferson_jeffeam01,PF,26,ORL,18,0,74,5,14,0.35700000000000004,0,0,,5,14,0.35700000000000004,0.35700000000000004,5,14,0.35700000000000004,10,13,23,4,1,3,3,7,15,Amile Jefferson,jeffeam01
321,252,DaQuan Jeffries_jeffrda01,SG,22,SAC,13,0,141,20,40,0.5,5,18,0.278,15,22,0.682,0.563,5,6,0.833,3,15,18,7,4,1,2,19,50,DaQuan Jeffries,jeffrda01
322,253,Ty Jerome_jeromty01,PG,22,PHO,31,0,328,38,113,0.336,14,50,0.28,24,63,0.381,0.39799999999999996,12,16,0.75,7,39,46,44,15,3,18,29,102,Ty Jerome,jeromty01
323,254,Alize Johnson_johnsal02,SF,23,IND,17,1,118,12,29,0.414,3,8,0.375,9,21,0.429,0.466,7,10,0.7,16,32,48,7,3,2,7,12,34,Alize Johnson,johnsal02
324,255,B.J. Johnson_johnsbj01,SF,24,ORL,10,0,83,9,32,0.281,3,9,0.33299999999999996,6,23,0.261,0.32799999999999996,9,10,0.9,3,12,15,3,3,0,6,3,30,B.J. Johnson,johnsbj01
325,256,Cameron Johnson_johnsca02,PF,23,PHO,57,9,1255,176,405,0.435,106,272,0.39,70,133,0.526,0.565,46,57,0.807,49,138,187,69,36,20,32,88,504,Cameron Johnson,johnsca02
326,257,James Johnson_johnsja01,PF,32,TOT,32,1,619,103,215,0.479,33,91,0.363,70,124,0.565,0.556,31,48,0.6459999999999999,25,93,118,74,25,32,48,80,270,James Johnson,johnsja01
327,257,James Johnson_johnsja01,PF,32,MIA,18,0,281,39,87,0.44799999999999995,16,45,0.35600000000000004,23,42,0.5479999999999999,0.54,8,14,0.5710000000000001,8,44,52,21,6,13,15,34,102,James Johnson,johnsja01
328,257,James Johnson_johnsja01,PF,32,MIN,14,1,338,64,128,0.5,17,46,0.37,47,82,0.573,0.5660000000000001,23,34,0.6759999999999999,17,49,66,53,19,19,33,46,168,James Johnson,johnsja01
329,258,Keldon Johnson_johnske04,SF,20,SAS,17,1,301,53,89,0.596,13,22,0.591,40,67,0.597,0.669,35,44,0.795,10,47,57,15,14,2,13,28,154,Keldon Johnson,johnske04
330,259,Stanley Johnson_johnsst04,PF,23,TOR,25,0,150,22,59,0.373,7,24,0.292,15,35,0.429,0.43200000000000005,9,16,0.563,7,30,37,20,6,4,15,16,60,Stanley Johnson,johnsst04
331,260,Tyler Johnson_johnsty01,SG,27,TOT,39,7,709,97,250,0.38799999999999996,38,119,0.319,59,131,0.45,0.46399999999999997,42,50,0.84,18,58,76,74,16,9,29,58,274,Tyler Johnson,johnsty01
332,260,Tyler Johnson_johnsty01,SG,27,PHO,31,3,515,65,171,0.38,24,83,0.289,41,88,0.466,0.45,24,32,0.75,10,42,52,50,12,8,24,43,178,Tyler Johnson,johnsty01
333,260,Tyler Johnson_johnsty01,SG,27,BRK,8,4,194,32,79,0.405,14,36,0.389,18,43,0.419,0.494,18,18,1.0,8,16,24,24,4,1,5,15,96,Tyler Johnson,johnsty01
334,261,Nikola Jokić_jokicni01,C,24,DEN,73,73,2336,565,1071,0.528,80,255,0.314,485,816,0.594,0.565,246,301,0.8170000000000001,166,545,711,512,85,44,226,222,1456,Nikola Jokić,jokicni01
335,262,Damian Jones_jonesda03,C,24,ATL,55,27,887,121,178,0.68,2,9,0.222,119,169,0.7040000000000001,0.685,62,84,0.738,74,132,206,35,26,40,28,149,306,Damian Jones,jonesda03
336,263,Derrick Jones Jr._jonesde02,SF,22,MIA,59,16,1375,184,349,0.527,37,132,0.28,147,217,0.677,0.58,95,123,0.772,66,167,233,62,58,38,30,130,500,Derrick Jones Jr.,jonesde02
337,264,Tyus Jones_jonesty01,PG,23,MEM,65,6,1232,197,429,0.45899999999999996,47,124,0.379,150,305,0.49200000000000005,0.514,43,58,0.741,9,94,103,285,59,6,55,44,484,Tyus Jones,jonesty01
338,265,DeAndre Jordan_jordade01,C,31,BRK,56,6,1234,191,287,0.6659999999999999,0,0,,191,287,0.6659999999999999,0.6659999999999999,83,122,0.68,141,420,561,105,18,52,74,114,465,DeAndre Jordan,jordade01
339,266,Cory Joseph_josepco01,PG,28,SAC,72,26,1759,171,412,0.415,56,159,0.35200000000000004,115,253,0.455,0.483,60,70,0.857,44,144,188,251,53,21,80,133,458,Cory Joseph,josepco01
340,267,Mfiondu Kabengele_kabenmf01,C,22,LAC,12,0,64,14,32,0.43799999999999994,9,20,0.45,5,12,0.41700000000000004,0.578,5,5,1.0,1,10,11,2,2,2,2,9,42,Mfiondu Kabengele,kabenmf01
341,268,Frank Kaminsky_kaminfr01,C,26,PHO,39,13,777,138,307,0.45,41,124,0.331,97,183,0.53,0.516,61,90,0.6779999999999999,35,141,176,75,14,10,37,75,378,Frank Kaminsky,kaminfr01
342,269,Enes Kanter_kanteen01,C,27,BOS,58,7,983,199,348,0.5720000000000001,1,7,0.14300000000000002,198,341,0.581,0.573,70,99,0.7070000000000001,163,268,431,56,22,41,56,100,469,Enes Kanter,kanteen01
343,270,Luke Kennard_kennalu01,SG,23,DET,28,25,922,151,342,0.442,73,183,0.39899999999999997,78,159,0.491,0.5479999999999999,67,75,0.893,9,89,98,115,12,6,43,65,442,Luke Kennard,kennalu01
344,271,Stanton Kidd_kiddst01,SF,27,UTA,4,0,15,0,3,0.0,0,1,0.0,0,2,0.0,0.0,0,0,,0,3,3,1,0,0,2,3,0,Stanton Kidd,kiddst01
345,272,Michael Kidd-Gilchrist_kiddgmi01,SF-PF,26,TOT,25,0,281,22,66,0.33299999999999996,5,20,0.25,17,46,0.37,0.371,11,14,0.7859999999999999,14,53,67,14,2,6,16,37,60,Michael Kidd-Gilchrist,kiddgmi01
346,272,Michael Kidd-Gilchrist_kiddgmi01,PF,26,CHO,12,0,160,18,53,0.34,5,17,0.294,13,36,0.361,0.387,7,9,0.778,9,26,35,10,0,3,7,18,48,Michael Kidd-Gilchrist,kiddgmi01
347,272,Michael Kidd-Gilchrist_kiddgmi01,SF,26,DAL,13,0,121,4,13,0.308,0,3,0.0,4,10,0.4,0.308,4,5,0.8,5,27,32,4,2,3,9,19,12,Michael Kidd-Gilchrist,kiddgmi01
348,273,Louis King_kinglo02,SF,20,DET,10,0,62,8,21,0.381,4,11,0.364,4,10,0.4,0.47600000000000003,0,3,0.0,1,9,10,5,2,0,2,10,20,Louis King,kinglo02
349,274,Maxi Kleber_klebima01,C,28,DAL,74,21,1890,237,514,0.461,119,319,0.373,118,195,0.605,0.5770000000000001,79,93,0.8490000000000001,112,276,388,88,25,83,58,176,672,Maxi Kleber,klebima01
350,275,Brandon Knight_knighbr03,PG,28,TOT,25,3,462,59,167,0.353,45,131,0.344,14,36,0.389,0.488,20,34,0.588,4,37,41,69,10,3,38,40,183,Brandon Knight,knighbr03
351,275,Brandon Knight_knighbr03,PG,28,CLE,16,0,241,28,86,0.326,19,64,0.297,9,22,0.409,0.436,4,13,0.308,3,17,20,31,5,2,16,20,79,Brandon Knight,knighbr03
352,275,Brandon Knight_knighbr03,PG,28,DET,9,3,221,31,81,0.38299999999999995,26,67,0.38799999999999996,5,14,0.35700000000000004,0.5429999999999999,16,21,0.762,1,20,21,38,5,1,22,20,104,Brandon Knight,knighbr03
353,276,Kevin Knox_knoxke01,SF,20,NYK,65,4,1166,144,401,0.359,65,199,0.327,79,202,0.391,0.44,66,101,0.653,28,156,184,61,23,28,45,106,419,Kevin Knox,knoxke01
354,277,John Konchar_konchjo01,SG,23,MEM,19,0,181,24,37,0.649,5,10,0.5,19,27,0.7040000000000001,0.716,1,2,0.5,18,29,47,22,7,3,7,7,54,John Konchar,konchjo01
355,278,Furkan Korkmaz_korkmfu01,SG,22,PHI,72,12,1559,242,563,0.43,143,356,0.402,99,207,0.478,0.557,77,102,0.755,18,150,168,79,41,16,59,98,704,Furkan Korkmaz,korkmfu01
356,279,Luke Kornet_kornelu01,C,24,CHI,36,14,559,82,187,0.439,31,108,0.287,51,79,0.6459999999999999,0.521,20,28,0.7140000000000001,22,62,84,32,11,26,14,54,215,Luke Kornet,kornelu01
357,280,Kyle Korver_korveky01,SF,38,MIL,58,1,960,126,293,0.43,99,237,0.418,27,56,0.48200000000000004,0.599,35,41,0.8540000000000001,15,107,122,68,26,12,48,78,386,Kyle Korver,korveky01
358,281,Rodions Kurucs_kurucro01,PF,21,BRK,47,9,684,79,177,0.446,33,90,0.36700000000000005,46,87,0.529,0.54,24,38,0.632,25,112,137,51,25,5,46,90,215,Rodions Kurucs,kurucro01
359,282,Kyle Kuzma_kuzmaky01,PF,24,LAL,61,9,1526,291,668,0.436,86,272,0.316,205,396,0.518,0.5,114,155,0.735,52,221,273,80,28,26,91,126,782,Kyle Kuzma,kuzmaky01
360,283,Skal Labissière_labissk01,C,23,POR,33,1,567,81,147,0.551,3,13,0.231,78,134,0.5820000000000001,0.561,25,33,0.758,65,104,169,42,7,31,30,89,190,Skal Labissière,labissk01
361,284,Jeremy Lamb_lambje01,SG,27,IND,46,42,1291,216,479,0.451,53,158,0.335,163,321,0.508,0.506,92,110,0.836,24,176,200,96,55,22,50,104,577,Jeremy Lamb,lambje01
362,285,Romeo Langford_langfro01,SG,20,BOS,32,2,370,28,80,0.35,5,27,0.185,23,53,0.434,0.381,18,25,0.72,15,26,41,13,8,8,11,33,79,Romeo Langford,langfro01
363,286,Zach LaVine_lavinza01,SG,24,CHI,60,60,2085,539,1199,0.45,184,484,0.38,355,715,0.49700000000000005,0.526,268,334,0.802,41,248,289,254,88,28,206,131,1530,Zach LaVine,lavinza01
364,287,Vic Law_lawvi01,SF,24,ORL,8,0,62,6,18,0.33299999999999996,1,7,0.14300000000000002,5,11,0.455,0.361,2,6,0.33299999999999996,2,9,11,3,2,0,2,6,15,Vic Law,lawvi01
365,288,Jake Layman_laymaja01,PF,25,MIN,23,2,505,81,179,0.45299999999999996,24,72,0.33299999999999996,57,107,0.5329999999999999,0.52,24,32,0.75,17,40,57,15,17,10,24,47,210,Jake Layman,laymaja01
366,289,T.J. Leaf_leaftj01,PF,22,IND,28,1,222,36,86,0.419,5,18,0.278,31,68,0.456,0.44799999999999995,7,16,0.43799999999999994,23,48,71,9,10,4,8,22,84,T.J. Leaf,leaftj01
367,290,Jalen Lecque_lecquja01,PG,19,PHO,5,0,32,4,10,0.4,0,4,0.0,4,6,0.667,0.4,2,2,1.0,0,2,2,2,0,0,2,3,10,Jalen Lecque,lecquja01
368,291,Courtney Lee_leeco01,SG,34,DAL,24,9,345,40,82,0.488,21,47,0.447,19,35,0.5429999999999999,0.616,6,7,0.857,7,25,32,12,18,6,11,33,107,Courtney Lee,leeco01
369,292,Damion Lee_leeda03,SG,27,GSW,49,36,1423,213,511,0.41700000000000004,85,239,0.35600000000000004,128,272,0.47100000000000003,0.5,110,126,0.873,32,207,239,133,50,6,67,116,621,Damion Lee,leeda03
370,293,Alex Len_lenal01,C,26,TOT,55,12,970,177,319,0.555,16,59,0.271,161,260,0.619,0.58,68,105,0.648,100,221,321,50,23,48,55,127,438,Alex Len,lenal01
371,293,Alex Len_lenal01,C,26,ATL,40,9,745,142,260,0.546,14,56,0.25,128,204,0.627,0.573,51,81,0.63,69,161,230,42,20,33,39,93,349,Alex Len,lenal01
372,293,Alex Len_lenal01,C,26,SAC,15,3,225,35,59,0.593,2,3,0.667,33,56,0.589,0.61,17,24,0.708,31,60,91,8,3,15,16,34,89,Alex Len,lenal01
373,294,Kawhi Leonard_leonaka01,SF,28,LAC,57,57,1848,532,1133,0.47,123,325,0.37799999999999995,409,808,0.506,0.524,356,402,0.8859999999999999,54,348,402,280,103,33,149,113,1543,Kawhi Leonard,leonaka01
374,295,Meyers Leonard_leoname01,C,27,MIA,51,49,1034,119,234,0.509,53,128,0.414,66,106,0.623,0.622,18,28,0.643,30,230,260,55,14,15,39,107,309,Meyers Leonard,leoname01
375,296,Caris LeVert_leverca01,SG,25,BRK,45,31,1330,311,732,0.425,80,220,0.364,231,512,0.451,0.48,140,197,0.711,49,140,189,199,53,10,118,81,842,Caris LeVert,leverca01
376,297,Damian Lillard_lillada01,PG,29,POR,66,66,2474,624,1349,0.46299999999999997,270,674,0.401,354,675,0.524,0.563,460,518,0.888,33,251,284,530,70,22,194,114,1978,Damian Lillard,lillada01
377,298,Nassir Little_littlna01,PF,19,POR,48,5,573,65,151,0.43,14,59,0.237,51,92,0.5539999999999999,0.47700000000000004,28,44,0.636,31,77,108,22,13,14,15,72,172,Nassir Little,littlna01
378,299,Kevon Looney_looneke01,C,23,GSW,20,4,262,29,79,0.36700000000000005,1,14,0.071,28,65,0.431,0.373,9,12,0.75,28,38,66,20,12,6,12,34,68,Kevon Looney,looneke01
379,300,Brook Lopez_lopezbr01,C,31,MIL,68,67,1817,292,671,0.435,102,325,0.314,190,346,0.5489999999999999,0.511,127,152,0.836,58,254,312,99,46,163,70,163,813,Brook Lopez,lopezbr01
380,301,Robin Lopez_lopezro01,C,31,MIL,66,5,958,147,299,0.49200000000000005,35,105,0.33299999999999996,112,194,0.5770000000000001,0.55,28,53,0.528,56,105,161,45,10,45,63,96,357,Robin Lopez,lopezro01
381,302,Kevin Love_loveke01,PF,31,CLE,56,56,1780,327,727,0.45,146,390,0.374,181,337,0.537,0.55,187,219,0.8540000000000001,54,493,547,178,33,19,140,90,987,Kevin Love,loveke01
382,303,Kyle Lowry_lowryky01,PG,33,TOR,58,58,2098,334,803,0.41600000000000004,164,466,0.35200000000000004,170,337,0.504,0.518,294,343,0.857,32,260,292,433,82,26,178,190,1126,Kyle Lowry,lowryky01
383,304,Timothé Luwawu-Cabarrot_luwawti01,SG,24,BRK,47,2,853,117,269,0.435,62,160,0.38799999999999996,55,109,0.505,0.55,69,81,0.852,29,98,127,29,18,7,37,106,365,Timothé Luwawu-Cabarrot,luwawti01
384,305,Trey Lyles_lylestr01,PF,24,SAS,63,53,1271,153,343,0.446,65,168,0.387,88,175,0.503,0.541,33,45,0.733,71,290,361,69,28,28,39,98,404,Trey Lyles,lylestr01
385,306,Daryl Macon_maconda01,SG,24,MIA,4,0,14,1,3,0.33299999999999996,1,2,0.5,0,1,0.0,0.5,0,0,,0,0,0,1,0,0,2,1,3,Daryl Macon,maconda01
386,307,J.P. Macura_macurjp01,SG,24,CLE,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,J.P. Macura,macurjp01
387,308,Josh Magette_magetjo01,PG,30,ORL,8,0,38,5,15,0.33299999999999996,1,4,0.25,4,11,0.364,0.36700000000000005,1,2,0.5,1,5,6,5,3,1,5,4,12,Josh Magette,magetjo01
388,309,Ian Mahinmi_mahinia01,C,33,WAS,38,35,808,104,210,0.495,5,26,0.192,99,184,0.5379999999999999,0.507,70,113,0.619,78,140,218,49,31,44,45,114,283,Ian Mahinmi,mahinia01
389,310,Thon Maker_makerth01,C,22,DET,60,14,776,93,193,0.48200000000000004,22,64,0.344,71,129,0.55,0.539,73,110,0.664,54,113,167,43,25,39,45,102,281,Thon Maker,makerth01
390,311,Terance Mann_mannte01,SG,23,LAC,41,6,362,37,79,0.46799999999999997,7,20,0.35,30,59,0.508,0.513,18,27,0.667,10,45,55,53,11,5,18,46,99,Terance Mann,mannte01
391,312,Boban Marjanović_marjabo01,C,31,DAL,44,5,422,121,211,0.573,4,17,0.235,117,194,0.603,0.583,43,57,0.754,66,131,197,20,8,10,30,56,289,Boban Marjanović,marjabo01
392,313,Lauri Markkanen_markkla01,PF,22,CHI,50,50,1492,251,591,0.425,109,317,0.344,142,274,0.518,0.517,126,153,0.8240000000000001,60,253,313,74,42,23,81,96,737,Lauri Markkanen,markkla01
393,314,Caleb Martin_martica02,SF,24,CHO,18,1,317,37,84,0.44,20,37,0.541,17,47,0.36200000000000004,0.56,17,21,0.81,10,28,38,23,12,7,15,32,111,Caleb Martin,martica02
394,315,Cody Martin_martico01,SF,24,CHO,48,3,903,89,207,0.43,18,77,0.23399999999999999,71,130,0.546,0.473,42,65,0.6459999999999999,38,120,158,95,39,9,44,78,238,Cody Martin,martico01
395,316,Jeremiah Martin_martije02,PG,23,BRK,9,0,99,24,53,0.45299999999999996,5,18,0.278,19,35,0.5429999999999999,0.5,11,14,0.7859999999999999,1,9,10,18,7,2,4,7,64,Jeremiah Martin,martije02
396,317,Kelan Martin_martike03,SF,24,MIN,31,4,495,71,181,0.392,25,96,0.26,46,85,0.541,0.461,30,31,0.968,12,84,96,23,7,9,20,51,197,Kelan Martin,martike03
397,318,Frank Mason III_masonfr01,PG,25,MIL,9,0,118,23,51,0.451,6,21,0.28600000000000003,17,30,0.5670000000000001,0.51,10,17,0.588,5,14,19,29,5,1,11,11,62,Frank Mason III,masonfr01
398,319,Garrison Mathews_mathega01,SG,23,WAS,18,0,227,24,56,0.429,19,46,0.413,5,10,0.5,0.598,31,34,0.912,6,18,24,10,8,1,8,32,98,Garrison Mathews,mathega01
399,320,Wesley Matthews_matthwe02,SG,33,MIL,67,67,1635,167,422,0.396,108,297,0.364,59,125,0.47200000000000003,0.524,52,68,0.765,22,144,166,92,38,9,43,103,494,Wesley Matthews,matthwe02
400,321,Luc Mbah a Moute_mbahalu01,PF,33,HOU,3,0,25,2,5,0.4,0,2,0.0,2,3,0.667,0.4,1,2,0.5,1,1,2,0,2,0,1,0,5,Luc Mbah a Moute,mbahalu01
401,322,Patrick McCaw_mccawpa01,SF,24,TOR,37,12,908,67,162,0.414,23,71,0.324,44,91,0.484,0.485,13,18,0.722,19,67,86,79,39,4,29,60,170,Patrick McCaw,mccawpa01
402,323,CJ McCollum_mccolcj01,SG,28,POR,70,70,2556,611,1356,0.451,194,512,0.379,417,844,0.494,0.522,140,185,0.757,46,251,297,310,54,42,127,183,1556,CJ McCollum,mccolcj01
403,324,T.J. McConnell_mccontj01,PG,27,IND,71,3,1326,212,411,0.516,5,17,0.294,207,394,0.525,0.522,35,42,0.833,38,151,189,355,56,11,100,73,464,T.J. McConnell,mccontj01
404,325,Jalen McDaniels_mcdanja01,PF,22,CHO,16,0,293,33,70,0.47100000000000003,9,24,0.375,24,46,0.522,0.536,14,17,0.8240000000000001,15,50,65,13,8,3,11,36,89,Jalen McDaniels,mcdanja01
405,326,Doug McDermott_mcderdo01,PF,28,IND,69,0,1372,267,547,0.488,128,294,0.435,139,253,0.5489999999999999,0.605,48,58,0.828,26,148,174,78,12,5,42,117,710,Doug McDermott,mcderdo01
406,327,JaVale McGee_mcgeeja01,C,32,LAL,68,68,1130,195,306,0.637,3,6,0.5,192,300,0.64,0.642,53,82,0.6459999999999999,125,265,390,37,36,94,55,159,446,JaVale McGee,mcgeeja01
407,328,Rodney McGruder_mcgruro01,SG,28,LAC,56,4,871,72,181,0.39799999999999996,24,89,0.27,48,92,0.522,0.46399999999999997,19,34,0.5589999999999999,29,122,151,36,26,8,24,74,187,Rodney McGruder,mcgruro01
408,329,Alfonzo McKinnie_mckinal01,SF,27,CLE,40,1,593,73,171,0.42700000000000005,14,65,0.215,59,106,0.557,0.46799999999999997,22,31,0.71,37,76,113,14,23,8,26,72,182,Alfonzo McKinnie,mckinal01
409,330,Jordan McLaughlin_mclaujo01,PG,23,MIN,30,2,590,87,178,0.489,29,76,0.382,58,102,0.569,0.57,26,39,0.667,7,42,49,125,34,4,31,31,229,Jordan McLaughlin,mclaujo01
410,331,Ben McLemore_mclembe01,SG,26,HOU,71,23,1619,242,545,0.444,181,452,0.4,61,93,0.6559999999999999,0.61,50,67,0.746,21,136,157,58,45,16,50,155,715,Ben McLemore,mclembe01
411,332,Jordan McRae_mcraejo01,SG,28,TOT,37,4,784,149,366,0.40700000000000003,45,126,0.35700000000000004,104,240,0.433,0.469,83,109,0.7609999999999999,18,106,124,93,21,16,43,73,426,Jordan McRae,mcraejo01
412,332,Jordan McRae_mcraejo01,SG,28,WAS,29,4,654,133,317,0.42,40,106,0.377,93,211,0.441,0.483,64,83,0.7709999999999999,17,87,104,82,19,15,38,61,370,Jordan McRae,mcraejo01
413,332,Jordan McRae_mcraejo01,SG,28,DEN,4,0,32,2,6,0.33299999999999996,2,4,0.5,0,2,0.0,0.5,3,4,0.75,1,4,5,4,2,1,0,2,9,Jordan McRae,mcraejo01
414,332,Jordan McRae_mcraejo01,SG,28,DET,4,0,98,14,43,0.326,3,16,0.188,11,27,0.40700000000000003,0.36,16,22,0.727,0,15,15,7,0,0,5,10,47,Jordan McRae,mcraejo01
415,333,Nicolò Melli_mellini01,C,29,NOP,60,8,1042,136,323,0.42100000000000004,69,206,0.335,67,117,0.573,0.528,54,73,0.74,38,142,180,82,34,23,46,124,395,Nicolò Melli,mellini01
416,334,De'Anthony Melton_meltode01,PG,21,MEM,60,8,1167,161,401,0.401,40,140,0.28600000000000003,121,261,0.46399999999999997,0.451,93,121,0.769,43,177,220,175,77,20,84,109,455,De'Anthony Melton,meltode01
417,335,Chimezie Metu_metuch01,PF,22,SAS,18,0,105,24,42,0.5710000000000001,0,2,0.0,24,40,0.6,0.5710000000000001,10,13,0.769,12,21,33,10,3,6,10,7,58,Chimezie Metu,metuch01
418,336,Khris Middleton_middlkh01,SF,28,MIL,62,59,1853,471,947,0.49700000000000005,147,354,0.415,324,593,0.546,0.575,208,227,0.9159999999999999,44,338,382,265,53,7,137,142,1297,Khris Middleton,middlkh01
