Date,Visitor/Neutral,PTS,Home/Neutral,PTS,
Wed Jul 15 2015,San Antonio Silver Stars,68,New York Liberty,84,Box Score
Wed Jul 15 2015,Los Angeles Sparks,61,Seattle Storm,68,Box Score
Thu Jul 16 2015,Atlanta Dream,76,Los Angeles Sparks,72,Box Score
Thu Jul 16 2015,Connecticut Sun,57,New York Liberty,64,Box Score
Fri Jul 17 2015,Chicago Sky,66,Minnesota Lynx,84,Box Score
Fri Jul 17 2015,Tulsa Shock,58,San Antonio Silver Stars,65,Box Score
Fri Jul 17 2015,Indiana Fever,50,Washington Mystics,68,Box Score
Sat Jul 18 2015,New York Liberty,75,Phoenix Mercury,73,Box Score
Sat Jul 18 2015,Atlanta Dream,73,Seattle Storm,86,Box Score
Sun Jul 19 2015,San Antonio Silver Stars,82,Chicago Sky,93,Box Score
Sun Jul 19 2015,Minnesota Lynx,79,Tulsa Shock,72,Box Score
Sun Jul 19 2015,Connecticut Sun,82,Washington Mystics,89,Box Score
Tue Jul 21 2015,Atlanta Dream,92,Chicago Sky,97,Box Score
Tue Jul 21 2015,Phoenix Mercury,65,Los Angeles Sparks,70,Box Score
Tue Jul 21 2015,Indiana Fever,62,San Antonio Silver Stars,80,Box Score
Tue Jul 21 2015,New York Liberty,81,Seattle Storm,77,Box Score
Tue Jul 21 2015,Washington Mystics,76,Tulsa Shock,69,Box Score
Wed Jul 22 2015,New York Liberty,59,Los Angeles Sparks,53,Box Score
Wed Jul 22 2015,Connecticut Sun,78,Minnesota Lynx,77,Box Score
Tue Jul 28 2015,Indiana Fever,75,Connecticut Sun,73,Box Score
Tue Jul 28 2015,Chicago Sky,87,Phoenix Mercury,89,Box Score
Wed Jul 29 2015,New York Liberty,72,Indiana Fever,84,Box Score
Wed Jul 29 2015,Los Angeles Sparks,76,Minnesota Lynx,82,Box Score
Wed Jul 29 2015,Atlanta Dream,85,San Antonio Silver Stars,102,Box Score
Wed Jul 29 2015,Seattle Storm,74,Washington Mystics,87,Box Score
Thu Jul 30 2015,Phoenix Mercury,78,Tulsa Shock,66,Box Score
Fri Jul 31 2015,Los Angeles Sparks,88,Chicago Sky,77,Box Score
Fri Jul 31 2015,Seattle Storm,66,Connecticut Sun,67,Box Score
Fri Jul 31 2015,Atlanta Dream,70,Minnesota Lynx,86,Box Score
Fri Jul 31 2015,Washington Mystics,88,San Antonio Silver Stars,53,Box Score
Sat Aug 1 2015,Minnesota Lynx,86,Tulsa Shock,80,Box Score
Sun Aug 2 2015,Phoenix Mercury,71,Atlanta Dream,68,Box Score
Sun Aug 2 2015,Washington Mystics,68,Chicago Sky,71,Box Score
Sun Aug 2 2015,Connecticut Sun,70,Indiana Fever,83,Box Score
Sun Aug 2 2015,Seattle Storm,62,New York Liberty,78,Box Score
Sun Aug 2 2015,Los Angeles Sparks,80,San Antonio Silver Stars,78,Box Score
Tue Aug 4 2015,Indiana Fever,82,Chicago Sky,106,Box Score
Tue Aug 4 2015,San Antonio Silver Stars,51,Connecticut Sun,82,Box Score
Tue Aug 4 2015,Minnesota Lynx,61,Los Angeles Sparks,83,Box Score
Tue Aug 4 2015,Tulsa Shock,84,Phoenix Mercury,87,Box Score
Wed Aug 5 2015,San Antonio Silver Stars,63,Washington Mystics,66,Box Score
