,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
201,202,Jamal Crawford\crawfja01,BRK,1,0,6.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,4.7
202,203,Donta Hall\halldo01,BRK,8,0,13.1,2.1,2.9,0.7390000000000001,0.0,0.0,,0.8,2.0,0.375,1.4,2.1,3.5,0.3,0.3,0.9,0.5,1.9,5.0,4.7
203,204,Ben McLemore\mclembe01,HOU,19,4,16.4,2.5,6.1,0.41700000000000004,2.2,5.2,0.418,0.2,0.3,0.6,0.2,1.4,1.5,0.5,0.6,0.2,0.4,1.7,7.4,4.7
204,205,Chris Boucher\bouchch01,TOR,14,0,9.8,1.8,3.6,0.5,0.9,1.7,0.5,0.6,1.0,0.643,1.1,2.2,3.4,0.3,0.1,0.7,0.4,1.1,5.1,4.6
205,206,Harry Giles\gilesha01,SAC,8,0,11.0,2.9,5.5,0.523,0.0,0.3,0.0,0.6,0.8,0.833,1.3,2.4,3.6,1.4,0.1,0.5,1.1,2.4,6.4,4.6
206,207,E'Twaun Moore\mooreet01,NOP,5,1,12.4,2.4,5.4,0.444,0.6,1.4,0.429,0.4,0.4,1.0,0.4,1.2,1.6,1.0,0.8,0.2,0.4,0.6,5.8,4.6
207,208,Miye Oni\onimi01,UTA,7,1,16.1,2.1,5.1,0.41700000000000004,1.1,3.1,0.364,0.6,0.7,0.8,1.0,1.7,2.7,0.6,0.7,0.4,0.6,1.6,6.0,4.6
208,209,Austin Rivers\riverau01,HOU,20,0,20.1,2.4,6.5,0.369,1.1,3.7,0.301,1.4,1.7,0.8240000000000001,0.2,3.0,3.2,1.7,0.7,0.1,1.2,2.0,7.3,4.6
209,210,Donte DiVincenzo\divindo01,MIL,17,3,19.0,2.7,6.4,0.42200000000000004,0.8,2.8,0.298,0.9,1.6,0.5710000000000001,0.9,2.7,3.6,1.8,0.7,0.3,1.6,2.2,7.2,4.5
210,211,DaQuan Jeffries\jeffrda01,SAC,7,0,17.4,2.4,4.7,0.515,0.6,2.0,0.28600000000000003,0.7,0.9,0.833,0.3,2.1,2.4,0.9,0.4,0.1,0.3,2.3,6.1,4.5
211,212,Reggie Jackson\jacksre01,LAC,20,6,17.8,2.4,5.9,0.41,1.5,3.2,0.45299999999999996,0.5,0.6,0.909,0.2,2.1,2.3,1.8,0.3,0.1,0.8,1.9,6.8,4.4
212,213,Alize Johnson\johnsal02,IND,5,1,12.8,1.0,2.8,0.35700000000000004,0.6,1.6,0.375,0.6,0.8,0.75,1.8,4.2,6.0,1.0,0.6,0.4,0.8,1.2,3.2,4.4
213,214,Doug McDermott\mcderdo01,IND,11,0,16.8,2.7,6.5,0.423,1.1,3.5,0.308,0.5,0.5,0.833,0.3,1.6,1.9,0.8,0.4,0.1,0.3,1.3,7.0,4.4
214,215,Shabazz Napier\napiesh01,WAS,5,2,22.1,3.6,8.6,0.419,1.0,3.6,0.278,2.0,2.4,0.833,0.2,2.2,2.4,1.8,0.6,0.4,3.4,1.6,10.2,4.4
215,216,Dion Waiters\waitedi01,LAL,12,0,16.9,2.9,7.1,0.41200000000000003,0.6,2.8,0.20600000000000002,1.3,1.5,0.889,0.2,1.1,1.3,1.6,0.4,0.4,1.2,1.5,7.8,4.4
216,217,Delon Wright\wrighde01,DAL,12,0,17.6,1.4,3.3,0.425,0.3,1.0,0.25,0.8,1.3,0.6,0.4,1.6,2.0,2.6,1.2,0.1,0.8,1.0,3.8,4.4
217,218,Bol Bol\bolbo01,DEN,11,0,9.9,1.7,3.4,0.514,0.5,1.1,0.5,1.4,1.6,0.833,0.7,1.5,2.2,0.5,0.4,0.7,1.1,1.1,5.4,4.3
218,219,Torrey Craig\craigto01,DEN,27,11,21.4,2.3,5.1,0.439,0.7,2.6,0.282,0.4,0.7,0.611,1.0,2.5,3.5,1.0,0.4,0.4,0.4,2.5,5.7,4.3
219,220,PJ Dozier\doziepj01,DEN,20,0,15.1,2.2,5.0,0.434,0.6,1.5,0.414,1.1,1.6,0.688,0.4,1.8,2.2,2.3,0.5,0.2,1.2,1.6,6.0,4.3
220,221,Gary Harris\harriga01,DEN,14,12,27.1,2.4,6.4,0.37799999999999995,1.4,3.7,0.365,1.2,1.6,0.773,0.5,1.5,2.0,1.7,1.1,0.3,1.5,3.2,7.4,4.3
221,222,Kevin Hervey\herveke01,OKC,3,0,10.9,2.0,5.3,0.375,1.0,4.0,0.25,0.0,0.0,,0.3,3.0,3.3,1.3,0.3,0.3,0.0,1.0,5.0,4.3
222,223,Mason Plumlee\plumlma01,DEN,27,0,13.5,1.6,2.9,0.544,0.0,0.1,0.0,0.6,1.1,0.586,1.5,2.1,3.6,2.0,0.3,0.5,0.8,2.1,3.8,4.3
223,224,Andre Iguodala\iguodan01,MIA,28,0,20.3,1.5,3.6,0.42200000000000004,0.7,2.2,0.306,0.3,0.5,0.643,0.6,2.2,2.8,1.9,0.8,0.6,0.8,1.8,4.1,4.2
224,225,Wesley Matthews\matthwe02,MIL,15,15,23.5,2.1,5.2,0.41,1.6,4.2,0.381,0.7,1.0,0.733,0.5,1.1,1.6,0.7,0.7,0.3,0.6,2.1,6.6,4.2
225,226,Matisse Thybulle\thybuma01,PHI,12,2,21.1,1.6,3.2,0.5,0.6,1.6,0.368,0.0,0.0,,0.8,1.5,2.3,0.9,1.4,0.7,0.7,2.3,3.8,4.2
226,227,Kyle Korver\korveky01,MIL,18,1,13.7,1.9,4.5,0.43200000000000005,1.6,3.7,0.418,0.8,0.8,1.0,0.1,1.3,1.4,0.4,0.4,0.1,0.6,1.1,6.2,4.1
227,228,Alex Len\lenal01,SAC,6,3,12.6,1.5,2.8,0.529,0.3,0.5,0.667,1.7,2.3,0.7140000000000001,0.8,3.7,4.5,0.5,0.2,0.3,0.8,2.2,5.0,4.1
228,229,Paul Watson\watsopa01,TOR,7,0,10.0,1.6,2.9,0.55,0.6,1.1,0.5,0.9,1.0,0.857,0.3,1.6,1.9,0.6,0.6,0.0,0.4,0.6,4.6,4.1
229,230,Dewan Hernandez\hernade01,TOR,2,0,8.5,2.0,4.5,0.444,0.5,0.5,1.0,0.5,1.5,0.33299999999999996,1.5,2.0,3.5,1.5,0.0,0.0,1.0,0.0,5.0,4.0
230,231,B.J. Johnson\johnsbj01,ORL,3,0,13.3,1.7,5.3,0.313,1.0,1.3,0.75,2.3,2.7,0.875,0.7,3.0,3.7,0.3,0.3,0.0,1.0,1.0,6.7,4.0
231,232,Terence Davis\daviste02,TOR,14,2,14.7,2.3,5.3,0.43200000000000005,1.0,2.8,0.359,0.9,1.0,0.929,0.4,1.9,2.4,1.1,0.6,0.1,1.2,2.2,6.5,3.9
232,233,Mario Hezonja\hezonma01,POR,11,0,15.7,1.8,4.6,0.392,0.5,1.9,0.23800000000000002,0.8,1.1,0.75,0.5,2.9,3.5,1.3,1.0,0.0,0.7,2.1,4.9,3.9
233,234,Rondae Hollis-Jefferson\holliro01,TOR,13,1,12.5,1.5,3.4,0.455,0.1,0.5,0.14300000000000002,1.2,1.7,0.727,1.0,2.0,3.0,1.5,0.3,0.2,0.8,1.2,4.4,3.9
234,235,Markieff Morris\morrima02,LAL,27,3,17.3,2.1,4.9,0.44299999999999995,1.3,3.2,0.414,0.3,0.4,0.727,0.7,2.4,3.1,0.9,0.3,0.2,0.7,2.5,5.9,3.9
235,236,DeMarre Carroll\carrode01,HOU,5,0,13.0,1.0,2.8,0.35700000000000004,0.2,1.2,0.16699999999999998,1.0,1.2,0.833,0.2,2.0,2.2,1.6,0.8,0.2,0.2,1.0,3.2,3.8
236,237,Anthony Tolliver\tollian01,MEM,8,4,17.5,1.4,3.4,0.40700000000000003,1.3,3.0,0.41700000000000004,0.4,0.5,0.75,0.5,2.1,2.6,1.1,0.5,0.0,0.5,1.3,4.4,3.8
237,238,Rayjon Tucker\tuckera01,UTA,8,0,11.8,1.8,3.6,0.483,0.5,1.8,0.28600000000000003,2.0,2.3,0.889,0.1,0.8,0.9,0.4,0.0,0.1,0.8,0.5,6.0,3.8
238,239,Sterling Brown\brownst02,MIL,8,0,13.1,1.9,4.9,0.385,1.0,2.9,0.348,0.6,0.6,1.0,0.4,2.0,2.4,0.6,0.9,0.0,0.8,1.1,5.4,3.7
239,240,Mike Muscala\muscami01,OKC,8,2,12.4,1.8,4.0,0.43799999999999994,1.5,3.0,0.5,0.0,0.0,,0.4,1.9,2.3,0.9,0.1,0.1,0.4,1.1,5.0,3.7
240,241,Matt Thomas\thomama02,TOR,18,1,11.3,1.8,3.3,0.5329999999999999,0.9,2.0,0.47200000000000003,0.1,0.1,1.0,0.2,1.3,1.5,0.7,0.2,0.1,0.3,0.7,4.6,3.7
241,242,Jarrod Uthoff\uthofja01,WAS,3,0,13.1,2.0,3.7,0.545,1.0,1.7,0.6,0.0,0.0,,0.3,1.3,1.7,0.0,0.0,0.0,0.0,0.3,5.0,3.7
242,243,Justin Wright-Foreman\wrighju02,UTA,3,0,14.5,2.3,6.7,0.35,0.7,3.3,0.2,1.0,1.3,0.75,0.0,1.7,1.7,2.3,0.7,0.0,1.0,1.7,6.3,3.6
243,244,Thanasis Antetokounmpo\antetth01,MIL,2,0,17.9,2.5,6.0,0.41700000000000004,0.0,1.5,0.0,0.0,1.0,0.0,0.5,2.0,2.5,3.0,0.5,0.0,0.5,2.5,5.0,3.5
244,245,Chris Clemons\clemoch01,HOU,6,0,7.9,1.3,3.5,0.381,1.0,3.0,0.33299999999999996,0.8,1.0,0.833,0.2,1.3,1.5,0.8,0.5,0.2,0.3,1.0,4.5,3.5
245,246,JaVale McGee\mcgeeja01,LAL,21,18,11.5,1.6,2.6,0.618,0.0,0.1,0.0,0.2,0.4,0.556,1.4,2.4,3.8,0.5,0.3,0.6,0.8,1.7,3.5,3.5
246,247,Emmanuel Mudiay\mudiaem01,UTA,9,1,14.6,2.2,5.8,0.385,0.6,1.6,0.35700000000000004,1.3,1.8,0.75,0.2,1.7,1.9,1.2,0.6,0.1,1.3,0.9,6.3,3.5
247,248,Abdel Nader\naderab01,OKC,10,1,13.6,2.4,5.0,0.48,1.0,2.8,0.35700000000000004,0.4,0.6,0.667,0.1,1.2,1.3,0.3,0.4,0.2,0.7,1.4,6.2,3.5
