,First_Name,Last_Name,player_name,player_id,Points,Free_Throw_Percent,Two_Pt_Percent,Three_Pt_Percent,Assists,Rebounds,Offensive_Rebounds,Steals,Personal_Fouls,Flagrant_Fouls,Tech_Fouls,Turnovers,Home_Away,win,Min_played,Crowd,total_sec_played
22053,Carolyn,Swords,Carolyn Swords,91369e98-52c7-4c2d-8489-fcc626aee7d1,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,1,3:28,1971,208.0
22054,Chelsea,Gray,Chelsea Gray,ca6b54e3-612d-4523-9582-b88e675f58de,13,100.0,37.5,50.0,13,10,1,0,0,0,0,2,1,1,33:37:00,10336,2017.0
22055,Alana,Beard,Alana Beard,edea0ce9-bdc7-484a-98b1-ac166c1ce240,4,0.0,66.7,0.0,0,0,0,1,1,0,0,0,1,1,10:52,10336,652.0
22056,Kalani,Brown,Kalani Brown,6109be30-a0ce-4c7a-8eef-20fc8ceac1f2,0,0.0,0.0,0.0,1,5,3,1,1,0,0,0,1,1,9:37,10336,577.0
22057,Nneka,Ogwumike,Nneka Ogwumike,e49da6d1-dd65-44f9-9a5f-d60010d8c384,31,100.0,75.0,71.4,1,10,2,1,3,0,0,1,1,1,30:12:00,10336,1812.0
22059,Tierra,Ruffin-Pratt,Tierra Ruffin-Pratt,5035df5c-a727-478f-b7c9-41bd806d4d5c,12,0.0,50.0,50.0,3,1,0,0,1,0,1,0,1,1,26:34:00,10336,1594.0
22060,Marina,Mabrey,Marina Mabrey,36211055-b368-4e99-97f2-7080386db4d5,0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,1,6:23,10336,383.0
22061,Chiney,Ogwumike,Chiney Ogwumike,26c1455a-af5d-46b0-b2c6-6c804033ccc7,4,0.0,50.0,0.0,0,0,0,0,3,0,0,0,1,1,12:04,10336,724.0
22062,Riquna,Williams,Riquna Williams,8bc4287f-be0e-4c1e-af74-37f0dd2be275,19,100.0,100.0,50.0,1,4,1,1,3,0,1,1,1,1,27:03:00,10336,1623.0
22063,Sydney,Wiese,Sydney Wiese,c79389a8-adaf-4987-9359-cac3eb057f79,8,0.0,50.0,50.0,0,2,0,0,2,0,0,0,1,1,15:39,10336,939.0
22064,Candace,Parker,Candace Parker,e2992444-14b7-4cc1-9880-a874e676d7fd,7,60.0,28.6,0.0,4,7,0,0,1,0,0,1,1,1,27:55:00,10336,1675.0
22065,LaToya,Sanders,LaToya Sanders,c9d1882f-4d87-4423-ad00-04f5d4c4a06a,5,50.0,50.0,0.0,2,3,1,0,0,0,0,1,0,0,22:55,10336,1375.0
22067,Tianna,Hawkins,Tianna Hawkins,91d7d573-663f-4d1d-98f7-64644f25a896,10,100.0,50.0,0.0,3,8,1,0,4,0,1,3,0,0,28:11:00,10336,1691.0
22068,Elena,Delle Donne,Elena Delle Donne,8dc72518-7da4-4803-b9c6-bec3a6cf6fd6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1:00,10336,60.0
22069,Myisha,Hines-Allen,Myisha Hines-Allen,8302ef7b-466b-42f0-bdae-d87d8d56154a,2,0.0,33.3,0.0,0,2,0,1,0,0,0,2,0,0,17:05,10336,1025.0
22070,Ariel,Atkins,Ariel Atkins,2861dedc-439b-4fbb-bc50-1873b498dc52,5,0.0,25.0,25.0,0,2,0,0,2,0,0,0,0,0,18:42,10336,1122.0
22071,Natasha,Cloud,Natasha Cloud,f2c36797-b5c5-47a4-b073-43637c9794ef,9,100.0,16.7,50.0,3,3,0,1,3,0,0,0,0,0,32:56:00,10336,1976.0
22072,Aerial,Powers,Aerial Powers,849170da-3a64-47f6-a912-818a3feceb4c,24,100.0,57.1,100.0,1,4,1,0,1,0,0,1,0,0,25:54:00,10336,1554.0
22073,Kristi,Toliver,Kristi Toliver,12292e57-db16-407e-a936-d6fe4d0f0bb4,18,100.0,77.8,16.7,9,8,1,0,0,0,0,1,0,0,32:22:00,10336,1942.0
22074,Shey,Peddy,Shey Peddy,782a5034-334b-48e8-a7a8-931296f40c06,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1:26,10336,86.0
22075,Shatori,Walker-Kimbrough,Shatori Walker-Kimbrough,3762be5d-d392-4e3b-aea3-9c5e356c7486,8,66.7,100.0,0.0,1,1,0,0,1,0,0,1,0,0,19:27,10336,1167.0
22076,Courtney,Vandersloot,Courtney Vandersloot,b61f397f-0cb5-49db-9e88-f91991757203,7,0.0,40.0,33.3,11,2,0,1,0,0,0,6,1,1,26:23:00,6102,1583.0
22077,Jantel,Lavender,Jantel Lavender,694de0b2-2e26-4778-ae03-43d38d915637,20,100.0,70.0,100.0,1,10,1,0,2,0,0,1,1,1,36:36:00,6102,2196.0
22080,Gabby,Williams,Gabby Williams,55cd7443-47da-4835-a946-d4a2338750ba,4,100.0,33.3,0.0,4,3,1,0,1,0,1,2,1,1,16:21,6102,981.0
22081,Allie,Quigley,Allie Quigley,2f7fa524-fb0f-4150-87d7-b0b9b6e322bd,8,100.0,0.0,50.0,1,0,0,1,0,0,0,0,1,1,23:04,6102,1384.0
22082,Kahleah,Copper,Kahleah Copper,6434f048-1c61-4a79-a990-73f51f46245e,16,71.4,57.1,33.3,1,2,1,1,1,0,0,3,1,1,22:47,6102,1367.0
22083,Stefanie,Dolson,Stefanie Dolson,776e2238-8340-4425-ab90-ba69e1bc7441,9,100.0,50.0,50.0,1,7,0,0,2,0,0,2,1,1,29:13:00,6102,1753.0
22086,Cheyenne,Parker,Cheyenne Parker,4a97e708-71e5-4d58-b1e8-883adf027925,4,0.0,40.0,0.0,0,5,0,1,1,0,0,0,1,1,14:10,6102,850.0
22087,Diamond,DeShields,Diamond DeShields,a68b7b43-102e-44a1-96e9-e1615cc0f1b2,10,0.0,28.6,33.3,4,5,0,0,3,0,0,2,1,1,31:25:00,6102,1885.0
22088,Brooke,McCarty-Williams,Brooke McCarty-Williams,60a23c99-c32b-417d-af22-8fc03ae00b71,0,0.0,0.0,0.0,0,2,1,0,0,0,0,1,0,0,4:26,6102,266.0
22089,Kayla,Thornton,Kayla Thornton,7a46f116-94ed-4d89-b585-fa41cf41862c,10,100.0,12.5,50.0,3,5,2,2,1,0,0,2,0,0,37:55:00,6102,2275.0
22091,Glory,Johnson,Glory Johnson,57942903-4e45-46ac-a05a-7cdadf102483,4,0.0,66.7,0.0,0,3,0,2,1,0,0,1,0,0,14:11,6102,851.0
22092,Isabelle,Harrison,Isabelle Harrison,184cc47d-af49-47fb-bcec-c0df1de4813f,12,0.0,54.5,0.0,1,8,5,2,4,0,0,4,0,0,32:40:00,6102,1960.0
22093,Kaela,Davis,Kaela Davis,072d3e30-e585-4835-b6f4-24da9cc05b7c,2,0.0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,4:49,6102,289.0
22094,Arike,Ogunbowale,Arike Ogunbowale,b84a83b9-07b1-4115-b2ad-8cb69a96ef08,22,75.0,31.3,40.0,5,6,1,1,2,0,1,2,0,0,37:17:00,6102,2237.0
22095,Theresa,Plaisance,Theresa Plaisance,462f199b-4d49-40fd-acfd-88d06a77da50,4,100.0,0.0,16.7,5,8,1,1,3,0,0,2,0,0,26:31:00,6102,1591.0
22097,Imani,McGee-Stafford,Imani McGee-Stafford,9d31d9cc-f287-4d91-a739-f76ccc88a55a,2,0.0,50.0,0.0,0,0,0,1,1,0,0,0,0,0,4:49,6102,289.0
22098,Megan,Gustafson,Megan Gustafson,8c94ae8d-4431-4e6b-98c6-dcd812ba76c8,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1:49,6102,109.0
22099,Allisha,Gray,Allisha Gray,293b5925-fd31-4640-8ada-bf6451a2c488,10,100.0,42.9,0.0,4,7,0,4,2,0,0,2,0,0,35:32:00,6102,2132.0
22101,DeWanna,Bonner,DeWanna Bonner,b262f7f1-1c78-406c-86aa-7ad15122931f,11,80.0,25.0,14.3,2,14,2,1,3,0,0,2,1,1,33:28:00,9850,2008.0
22102,Alanna,Smith,Alanna Smith,96ebdfad-3ffa-4a02-9990-75977d7c94a1,2,0.0,33.3,0.0,0,4,2,0,0,0,0,0,1,1,4:11,9850,251.0
22103,Sophie,Cunningham,Sophie Cunningham,6f20a6c1-04f6-4be2-b7a2-511ebe314525,0,0.0,0.0,0.0,2,2,0,0,1,0,0,0,1,1,16:22,9850,982.0
22104,Brittney,Griner,Brittney Griner,03e541cb-d11c-4975-b656-f6e7febcda7d,31,81.8,73.3,0.0,1,12,4,0,4,1,0,3,1,1,37:28:00,9850,2248.0
22106,Essence,Carson,Essence Carson,3e053532-93c1-4ac4-90b2-31b2a64cabbe,2,100.0,0.0,0.0,2,4,0,0,4,0,0,2,1,1,12:31,9850,751.0
22107,Camille,Little,Camille Little,9951fcfb-8d31-44e5-ba85-c41ed724763d,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,3:17,9850,197.0
22108,Sancho,Lyttle,Sancho Lyttle,fb843667-2e36-428f-a555-bcea00dbb793,4,0.0,25.0,0.0,0,6,2,1,1,0,0,1,1,1,21:15,9850,1275.0
22109,Leilani,Mitchell,Leilani Mitchell,7b8d55dd-2f12-46fb-9051-ade709b96dd5,13,0.0,33.3,33.3,4,3,1,1,2,0,0,0,1,1,37:59:00,9850,2279.0
22110,Briann,January,Briann January,9a3004e2-f946-4df6-b306-4213cc0879a0,2,0.0,20.0,0.0,2,3,1,0,5,0,0,2,1,1,33:29:00,9850,2009.0
22111,Renee,Montgomery,Renee Montgomery,d8ef9679-5f87-49ad-862d-75b4f5b03383,8,0.0,25.0,40.0,2,4,1,2,1,0,0,1,0,0,32:52:00,9850,1972.0
22112,Monique,Billings,Monique Billings,206872ae-560b-4199-94f4-a44106b0baff,1,50.0,0.0,0.0,0,7,2,0,1,0,0,0,0,0,7:12,9850,432.0
22116,Marie,Gülich,Marie Gülich,f9445de9-e1f9-4a34-933f-aa97f4275c9b,3,50.0,33.3,0.0,0,1,0,0,3,0,0,0,0,0,9:57,9850,597.0
22117,Jessica,Breland,Jessica Breland,897d2576-c2c5-4f86-83d4-a808ace96065,4,0.0,25.0,0.0,2,7,2,2,1,0,0,2,0,0,32:48:00,9850,1968.0
22118,Brittney,Sykes,Brittney Sykes,06e3bb10-73ab-4d8e-8ad4-6850ea710b30,29,71.4,45.5,42.9,3,10,1,0,1,0,0,4,0,0,31:16:00,9850,1876.0
22119,Elizabeth,Williams,Elizabeth Williams,c8672dba-0deb-4cf1-8304-82365865edaa,4,0.0,20.0,0.0,3,8,4,0,3,0,0,1,0,0,30:02:00,9850,1802.0
22120,Alex,Bentley,Alex Bentley,208ce658-9579-408a-92b5-9c69a950f1be,2,100.0,0.0,0.0,3,1,1,0,1,0,0,1,0,0,11:55,9850,715.0
22121,Maite,Cazorla,Maite Cazorla,b8d750b3-c469-4682-b26a-3f54576c7d1e,2,0.0,100.0,0.0,0,0,0,0,3,0,0,0,0,0,10:26,9850,626.0
22122,Tiffany,Hayes,Tiffany Hayes,f24ac568-77f4-4344-84a7-7fde145dda84,10,0.0,40.0,40.0,2,5,2,1,2,0,0,2,0,0,33:29:00,9850,2009.0
22123,Brooke,McCarty-Williams,Brooke McCarty-Williams,60a23c99-c32b-417d-af22-8fc03ae00b71,3,0.0,0.0,100.0,2,2,0,0,0,0,0,0,1,1,9:10,6885,550.0
22124,Glory,Johnson,Glory Johnson,57942903-4e45-46ac-a05a-7cdadf102483,14,0.0,44.4,50.0,1,6,1,4,0,0,0,1,1,1,27:12:00,6885,1632.0
22125,Kaela,Davis,Kaela Davis,072d3e30-e585-4835-b6f4-24da9cc05b7c,13,100.0,57.1,50.0,4,1,0,1,2,0,0,3,1,1,28:26:00,6885,1706.0
22127,Imani,McGee-Stafford,Imani McGee-Stafford,9d31d9cc-f287-4d91-a739-f76ccc88a55a,0,0.0,0.0,0.0,0,5,2,0,2,0,0,1,1,1,17:23,6885,1043.0
22128,Allisha,Gray,Allisha Gray,293b5925-fd31-4640-8ada-bf6451a2c488,8,100.0,100.0,0.0,1,2,0,2,2,0,0,3,1,1,20:05,6885,1205.0
22129,Theresa,Plaisance,Theresa Plaisance,462f199b-4d49-40fd-acfd-88d06a77da50,3,0.0,0.0,100.0,0,6,3,0,2,0,0,3,1,1,11:27,6885,687.0
22132,Kayla,Thornton,Kayla Thornton,7a46f116-94ed-4d89-b585-fa41cf41862c,17,100.0,46.2,100.0,2,3,1,2,0,0,0,2,1,1,31:29:00,6885,1889.0
22133,Isabelle,Harrison,Isabelle Harrison,184cc47d-af49-47fb-bcec-c0df1de4813f,2,0.0,33.3,0.0,0,3,0,3,0,0,0,0,1,1,23:58,6885,1438.0
22134,Arike,Ogunbowale,Arike Ogunbowale,b84a83b9-07b1-4115-b2ad-8cb69a96ef08,14,100.0,50.0,0.0,2,1,1,0,2,0,1,2,1,1,30:50:00,6885,1850.0
22135,Chelsea,Gray,Chelsea Gray,ca6b54e3-612d-4523-9582-b88e675f58de,3,100.0,25.0,0.0,4,2,1,1,1,0,0,6,0,0,33:08:00,6885,1988.0
22136,Tierra,Ruffin-Pratt,Tierra Ruffin-Pratt,5035df5c-a727-478f-b7c9-41bd806d4d5c,0,0.0,0.0,0.0,2,1,1,0,1,0,0,1,0,0,16:18,6885,978.0
